sstate,med_fever,"Weighted
Frequency","Row
Percent",LCL ,UCL
10,0,99.35503,80.3412,68.3677,89.1546
,1,24.31138,19.6588,10.8454,31.6323
,Total,123.66641,100,,
20,0,108.29065,80.8375,74.0681,86.4019
,1,25.67019,19.1625,13.5981,25.9319
,Total,133.96084,100,,
30,0,245.06307,81.5713,76.5046,85.8896
,1,55.36495,18.4287,14.1104,23.4954
,Total,300.42802,100,,
40,0,60.48825,57.0463,45.2005,68.8922
,1,45.54529,42.9537,31.1078,54.7995
,Total,106.03354,100,,
50,0,61.96021,55.4385,44.5305,66.3464
,1,49.80374,44.5615,33.6536,55.4695
,Total,111.76395,100,,
60,0,4.13445,73.0224,35.8714,95.1702
,1,1.52745,26.9776,4.8298,64.1286
,Total,5.6619,100,,
70,0,58.24222,79.105,70.2143,86.2253
,1,15.38425,20.895,13.7747,29.7857
,Total,73.62647,100,,
80,0,42.3342,77.9914,70.499,84.2544
,1,11.94643,22.0086,15.7456,29.501
,Total,54.28064,100,,
90,0,71.88593,61.4054,44.177,78.6339
,1,45.18177,38.5946,21.3661,55.823
,Total,117.0677,100,,
100,0,172.37989,73.0914,62.5442,81.9067
,1,63.46161,26.9086,18.0933,37.4558
,Total,235.8415,100,,
110,0,84.56172,84.3678,73.2242,92.0501
,1,15.66813,15.6322,7.9499,26.7758
,Total,100.22985,100,,
120,0,48.83697,70.0879,63.2377,76.9382
,1,20.84259,29.9121,23.0618,36.7623
,Total,69.67956,100,,
130,0,39.88691,47.2706,36.9963,57.5448
,1,44.49308,52.7294,42.4552,63.0037
,Total,84.37999,100,,
140,0,3.47311,42.0789,32.1979,51.96
,1,4.78068,57.9211,48.04,67.8021
,Total,8.25379,100,,
150,0,31.05276,45.4694,41.2159,49.7229
,1,37.24101,54.5306,50.2771,58.7841
,Total,68.29377,100,,
160,0,51.58726,63.7044,53.6366,73.7723
,1,29.39185,36.2956,26.2277,46.3634
,Total,80.97912,100,,
170,0,57.7421,80.6044,72.4648,87.0974
,1,13.8943,19.3956,12.9026,27.5352
,Total,71.6364,100,,
180,0,21.67513,53.2173,45.6007,60.8338
,1,19.05438,46.7827,39.1662,54.3993
,Total,40.72951,100,,
190,0,9.2674,34.7434,25.3697,44.1171
,1,17.40644,65.2566,55.8829,74.6303
,Total,26.67384,100,,
200,0,28.9487,65.6218,54.1331,77.1105
,1,15.16575,34.3782,22.8895,45.8669
,Total,44.11445,100,,
210,0,21.37151,35.3952,24.8453,45.945
,1,39.00821,64.6048,54.055,75.1547
,Total,60.37972,100,,
220,0,21.6242,55.9068,49.1717,62.6419
,1,17.05482,44.0932,37.3581,50.8283
,Total,38.67902,100,,
230,0,7.08978,48.6219,32.6617,64.5821
,1,7.49166,51.3781,35.4179,67.3383
,Total,14.58144,100,,
240,0,26.21051,72.5152,57.0315,84.6898
,1,9.93434,27.4848,15.3102,42.9685
,Total,36.14485,100,,
250,0,10.79169,66.594,50.5272,82.6608
,1,5.4135,33.406,17.3392,49.4728
,Total,16.20519,100,,
260,0,40.70157,64.367,50.8366,77.8974
,1,22.53203,35.633,22.1026,49.1634
,Total,63.2336,100,,
270,0,17.58381,58.5913,49.6228,67.5597
,1,12.42717,41.4087,32.4403,50.3772
,Total,30.01098,100,,
280,0,49.12926,87.8568,78.9086,93.8494
,1,6.79046,12.1432,6.1506,21.0914
,Total,55.91971,100,,
290,0,31.95481,66.9931,54.7483,79.238
,1,15.74381,33.0069,20.762,45.2517
,Total,47.69862,100,,
300,0,51.54438,72.0063,63.7874,79.1873
,1,20.03877,27.9937,20.8127,36.2126
,Total,71.58316,100,,
310,0,17.04392,68.9479,60.8752,77.0205
,1,7.67609,31.0521,22.9795,39.1248
,Total,24.72002,100,,
320,0,25.28745,59.5805,44.7074,74.4535
,1,17.15506,40.4195,25.5465,55.2926
,Total,42.44251,100,,
330,0,54.5602,71.9737,63.4788,80.4685
,1,21.24556,28.0263,19.5315,36.5212
,Total,75.80576,100,,
340,0,40.62469,78.2817,65.6704,87.7837
,1,11.2708,21.7183,12.2163,34.3296
,Total,51.89549,100,,
350,0,24.64008,66.5048,51.332,81.6776
,1,12.41001,33.4952,18.3224,48.668
,Total,37.0501,100,,
360,0,31.15657,77.8379,62.6721,88.8399
,1,8.87092,22.1621,11.1601,37.3279
,Total,40.02749,100,,
370,0,27.19134,75.529,61.5377,86.284
,1,8.80984,24.471,13.716,38.4623
