"year","State","scenario","indicator","count","trend","age"
2011,"Abia","NGA projection scenario 0","PfPR_percent_change",6.25,"Prevalence","all_ages"
2011,"Abia","NGA projection scenario 0","U5_PfPR_percent_change",11.56,"Prevalence","U5"
2011,"Abia","NGA projection scenario 0","incidence_percent_change",1.06,"Incidence per 1000","all_ages"
2011,"Abia","NGA projection scenario 0","U5_incidence_percent_change",4.9,"Incidence per 1000","U5"
2011,"Abia","NGA projection scenario 0","death_percent_change",15.14,"Deaths per 1000","all_ages"
2011,"Abia","NGA projection scenario 0","U5_death_percent_change",15.15,"Deaths per 1000","U5"
2012,"Abia","NGA projection scenario 0","PfPR_percent_change",8.66,"Prevalence","all_ages"
2012,"Abia","NGA projection scenario 0","U5_PfPR_percent_change",14.09,"Prevalence","U5"
2012,"Abia","NGA projection scenario 0","incidence_percent_change",2.85,"Incidence per 1000","all_ages"
2012,"Abia","NGA projection scenario 0","U5_incidence_percent_change",7.4,"Incidence per 1000","U5"
2012,"Abia","NGA projection scenario 0","death_percent_change",16.46,"Deaths per 1000","all_ages"
2012,"Abia","NGA projection scenario 0","U5_death_percent_change",18.43,"Deaths per 1000","U5"
2013,"Abia","NGA projection scenario 0","PfPR_percent_change",5.43,"Prevalence","all_ages"
2013,"Abia","NGA projection scenario 0","U5_PfPR_percent_change",10.5,"Prevalence","U5"
2013,"Abia","NGA projection scenario 0","incidence_percent_change",-0.53,"Incidence per 1000","all_ages"
2013,"Abia","NGA projection scenario 0","U5_incidence_percent_change",2.12,"Incidence per 1000","U5"
2013,"Abia","NGA projection scenario 0","death_percent_change",11.31,"Deaths per 1000","all_ages"
2013,"Abia","NGA projection scenario 0","U5_death_percent_change",13.09,"Deaths per 1000","U5"
2014,"Abia","NGA projection scenario 0","PfPR_percent_change",10.73,"Prevalence","all_ages"
2014,"Abia","NGA projection scenario 0","U5_PfPR_percent_change",17.02,"Prevalence","U5"
2014,"Abia","NGA projection scenario 0","incidence_percent_change",6.39,"Incidence per 1000","all_ages"
2014,"Abia","NGA projection scenario 0","U5_incidence_percent_change",9.55,"Incidence per 1000","U5"
2014,"Abia","NGA projection scenario 0","death_percent_change",17.68,"Deaths per 1000","all_ages"
2014,"Abia","NGA projection scenario 0","U5_death_percent_change",22.77,"Deaths per 1000","U5"
2015,"Abia","NGA projection scenario 0","PfPR_percent_change",0,"Prevalence","all_ages"
2015,"Abia","NGA projection scenario 0","U5_PfPR_percent_change",0,"Prevalence","U5"
2015,"Abia","NGA projection scenario 0","incidence_percent_change",0,"Incidence per 1000","all_ages"
2015,"Abia","NGA projection scenario 0","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2015,"Abia","NGA projection scenario 0","death_percent_change",0,"Deaths per 1000","all_ages"
2015,"Abia","NGA projection scenario 0","U5_death_percent_change",0,"Deaths per 1000","U5"
2016,"Abia","NGA projection scenario 0","PfPR_percent_change",2.23,"Prevalence","all_ages"
2016,"Abia","NGA projection scenario 0","U5_PfPR_percent_change",-0.13,"Prevalence","U5"
2016,"Abia","NGA projection scenario 0","incidence_percent_change",5.64,"Incidence per 1000","all_ages"
2016,"Abia","NGA projection scenario 0","U5_incidence_percent_change",4.78,"Incidence per 1000","U5"
