"","LGA","repDS","year","LGA_old","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","block_initial","round","peak","simday"
"1","Aba North","Ngor-Okpala",2020,"Aba North",0.568493072,0.659164498,0.542350367,0.517512273,0.319067389,0.393201897,0.53,1,"june",162
"2","Aba North","Ngor-Okpala",2023,"Aba North",0.568493072,0.659164498,0.542350367,0.517512273,0.319067389,0.393201897,0.53,2,"june",1257
"3","Aba South","Ngor-Okpala",2020,"Aba South",0.632585871,0.62691277,0.442141206,0.489843907,0.311454386,0.38693958,0.53,1,"june",162
"4","Aba South","Ngor-Okpala",2023,"Aba South",0.632585871,0.62691277,0.442141206,0.489843907,0.311454386,0.38693958,0.53,2,"june",1257
"5","Arochukwu","Ngor-Okpala",2020,"Arochukwu",0.609807769,0.527133985,0.439735094,0.525629622,0.431823298,0.485441926,0.53,1,"june",162
"6","Arochukwu","Ngor-Okpala",2023,"Arochukwu",0.609807769,0.527133985,0.439735094,0.525629622,0.431823298,0.485441926,0.53,2,"june",1257
"7","Bende","Ngor-Okpala",2020,"Bende",0.454506108,0.45399127,0.299431805,0.381414612,0.451630723,0.501154968,0.53,1,"june",162
"8","Bende","Ngor-Okpala",2023,"Bende",0.454506108,0.45399127,0.299431805,0.381414612,0.451630723,0.501154968,0.53,2,"june",1257
"9","Ikwuano","Ngor-Okpala",2020,"Ikwuano",0.593004114,0.524127916,0.625072045,0.62030651,0.469780688,0.51532143,0.53,1,"june",162
"10","Ikwuano","Ngor-Okpala",2023,"Ikwuano",0.593004114,0.524127916,0.625072045,0.62030651,0.469780688,0.51532143,0.53,2,"june",1257
"11","Isiala-Ngwa North","Ngor-Okpala",2020,"Isiala-Ngwa North",0.242898792,0.329356358,0.271963678,0.259840232,0.347639146,0.416760484,0.53,1,"june",162
"12","Isiala-Ngwa North","Ngor-Okpala",2023,"Isiala-Ngwa North",0.242898792,0.329356358,0.271963678,0.259840232,0.347639146,0.416760484,0.53,2,"june",1257
"13","Isiala-Ngwa South","Ngor-Okpala",2020,"Isiala-Ngwa South",0.304366275,0.276877973,0.419305704,0.317883509,0.381316588,0.444481729,0.53,1,"june",162
"14","Isiala-Ngwa South","Ngor-Okpala",2023,"Isiala-Ngwa South",0.304366275,0.276877973,0.419305704,0.317883509,0.381316588,0.444481729,0.53,2,"june",1257
"15","Isuikwato","Ngor-Okpala",2020,"Isuikwato",0.65242915,0.353256705,0.305045492,0.430249359,0.414408176,0.471442169,0.53,1,"june",162
"16","Isuikwato","Ngor-Okpala",2023,"Isuikwato",0.65242915,0.353256705,0.305045492,0.430249359,0.414408176,0.471442169,0.53,2,"june",1257
"17","Obi Nwa","Ngor-Okpala",2020,"Obi Nwa",0.5,0.666666667,0.518181818,0.54375,0.339144556,0.409752288,0.53,1,"june",162
"18","Obi Nwa","Ngor-Okpala",2023,"Obi Nwa",0.5,0.666666667,0.518181818,0.54375,0.339144556,0.409752288,0.53,2,"june",1257
"19","Ohafia","Ngor-Okpala",2020,"Ohafia",0.382997461,0.309757356,0.343886995,0.384305851,0.433165676,0.486514324,0.53,1,"june",162
"20","Ohafia","Ngor-Okpala",2023,"Ohafia",0.382997461,0.309757356,0.343886995,0.384305851,0.433165676,0.486514324,0.53,2,"june",1257
"21","Osisioma Ngwa","Ngor-Okpala",2020,"Osisioma Ngwa",0.464705882,0.4,0.330434783,0.533333333,0.3223721,0.395923243,0.53,1,"june",162
"22","Osisioma Ngwa","Ngor-Okpala",2023,"Osisioma Ngwa",0.464705882,0.4,0.330434783,0.533333333,0.3223721,0.395923243,0.53,2,"june",1257
"23","Ugwunagbo","Ngor-Okpala",2020,"Ugwunagbo",0.342857143,0.342857143,0.477777778,0.276923077,0.311296946,0.386810187,0.53,1,"june",162
"24","Ugwunagbo","Ngor-Okpala",2023,"Ugwunagbo",0.342857143,0.342857143,0.477777778,0.276923077,0.311296946,0.386810187,0.53,2,"june",1257
"25","Ukwa East","Nsit Ubium",2020,"Ukwa East",0.417391304,0.255555556,0.24,0.271428571,0.30363416,0.380519132,0.53,1,"june",162
"26","Ukwa East","Nsit Ubium",2023,"Ukwa East",0.417391304,0.255555556,0.24,0.271428571,0.30363416,0.380519132,0.53,2,"june",1257
"27","Ukwa West","Nsit Ubium",2020,"Ukwa West",0.53446468,0.494193051,0.402569073,0.427821791,0.294680951,0.373187786,0.53,1,"june",162
"28","Ukwa West","Nsit Ubium",2023,"Ukwa West",0.53446468,0.494193051,0.402569073,0.427821791,0.294680951,0.373187786,0.53,2,"june",1257
"29","Umu-Neochi","Oru West",2020,"Umu-Neochi",0.614834691,0.705751301,0.536016178,0.569315235,0.436597759,0.489251418,0.53,1,"june",162
"30","Umu-Neochi","Oru West",2023,"Umu-Neochi",0.614834691,0.705751301,0.536016178,0.569315235,0.436597759,0.489251418,0.53,2,"june",1257
"31","Umuahia North","Ngor-Okpala",2020,"Umuahia North",0.333333333,0.466473717,0.4,0.375438596,0.451576154,0.501112024,0.53,1,"june",162
"32","Umuahia North","Ngor-Okpala",2023,"Umuahia North",0.333333333,0.466473717,0.4,0.375438596,0.451576154,0.501112024,0.53,2,"june",1257
"33","Umuahia South","Ngor-Okpala",2020,"Umuahia South",0.390246395,0.419712762,0.365294373,0.478242778,0.48752647,0.528927156,0.53,1,"june",162
"34","Umuahia South","Ngor-Okpala",2023,"Umuahia South",0.390246395,0.419712762,0.365294373,0.478242778,0.48752647,0.528927156,0.53,2,"june",1257
"35","Demsa","Alkaleri",2020,"Demsa",0.65367231,0.48476821,0.467025783,0.584980239,0.495212973,0.534738199,0.53,1,"july",186
"36","Demsa","Alkaleri",2023,"Demsa",0.65367231,0.48476821,0.467025783,0.584980239,0.495212973,0.534738199,0.53,2,"july",1281
"37","Gireri","Darazo",2020,"Gireri",0.63370955,0.451051565,0.619360098,0.614123463,0.658506137,0.643299625,0.53,1,"july",186
"38","Gireri","Darazo",2023,"Gireri",0.63370955,0.451051565,0.619360098,0.614123463,0.658506137,0.643299625,0.53,2,"july",1281
"39","Gombi","Alkaleri",2020,"Gombi",0.66428318,0.613940794,0.595597499,0.538836572,0.515567645,0.54986676,0.53,1,"july",186
"40","Gombi","Alkaleri",2023,"Gombi",0.66428318,0.613940794,0.595597499,0.538836572,0.515567645,0.54986676,0.53,2,"july",1281
"41","Guyuk","Alkaleri",2020,"Guyuk",0.849078623,0.738183465,0.809110853,0.720162675,0.571995521,0.58959986,0.53,1,"july",186
"42","Guyuk","Alkaleri",2023,"Guyuk",0.849078623,0.738183465,0.809110853,0.720162675,0.571995521,0.58959986,0.53,2,"july",1281
"43","Hong","Darazo",2020,"Hong",0.808695652,0.644444444,0.44137931,0.584615385,0.634881453,0.629555395,0.53,1,"july",186
"44","Hong","Darazo",2023,"Hong",0.808695652,0.644444444,0.44137931,0.584615385,0.634881453,0.629555395,0.53,2,"july",1281
"45","Lamurde","Alkaleri",2020,"Lamurde",0.518181818,0.342857143,0.563636364,0.603225806,0.429924862,0.483923569,0.53,1,"july",186
"46","Lamurde","Alkaleri",2023,"Lamurde",0.518181818,0.342857143,0.563636364,0.603225806,0.429924862,0.483923569,0.53,2,"july",1281
"47","Mayo-Belwa","Alkaleri",2020,"Mayo-Belwa",0.84,0.3875,0.64,0.638596491,0.615915722,0.618014343,0.53,1,"july",186
"48","Mayo-Belwa","Alkaleri",2023,"Mayo-Belwa",0.84,0.3875,0.64,0.638596491,0.615915722,0.618014343,0.53,2,"july",1281
"49","Numan","Alkaleri",2020,"Numan",1.033333333,0.6375,0.568421053,0.811111111,0.518273564,0.55184819,0.53,1,"july",186
"50","Numan","Alkaleri",2023,"Numan",1.033333333,0.6375,0.568421053,0.811111111,0.518273564,0.55184819,0.53,2,"july",1281
"51","Shelleng","Darazo",2020,"Shelleng",0.564360702,0.494522122,0.51610634,0.566244989,0.58914423,0.600969346,0.53,1,"july",186
"52","Shelleng","Darazo",2023,"Shelleng",0.564360702,0.494522122,0.51610634,0.566244989,0.58914423,0.600969346,0.53,2,"july",1281
"53","Abak","Nsit Ubium",2021,"Abak",0.317647059,0.266666667,0.373913043,0.363934426,0.358412263,0.425644469,0.53,1,"june",527
"54","Itu","Ngor-Okpala",2024,"Itu",0.504424538,0.466473717,0.419305704,0.220408163,0.415010863,0.471929182,0.53,2,"june",1622
"55","Song","Darazo",2020,"Song",0.681299215,0.767045456,0.689233428,0.694332723,0.551949619,0.575879905,0.53,1,"july",186
"56","Song","Darazo",2023,"Song",0.681299215,0.767045456,0.689233428,0.694332723,0.551949619,0.575879905,0.53,2,"july",1281
"57","Yola North","Alkaleri",2020,"Yola North",0.689106732,0.654789001,0.614279228,0.609390884,0.581884889,0.596198663,0.53,1,"july",186
"58","Yola North","Alkaleri",2023,"Yola North",0.689106732,0.654789001,0.614279228,0.609390884,0.581884889,0.596198663,0.53,2,"july",1281
"59","Yola South","Alkaleri",2020,"Yola South",0.723809524,0.575,0.644444444,0.459259259,0.57254926,0.589972357,0.53,1,"july",186
"60","Yola South","Alkaleri",2023,"Yola South",0.723809524,0.575,0.644444444,0.459259259,0.57254926,0.589972357,0.53,2,"july",1281
"61","Abeokuta North","Owan East",2021,"Abeokuta North",0.7585438,0.70745042,0.596366979,0.712361736,0.429058332,0.483229857,0.53,1,"march",435
"62","Abak","Nsit Ubium",2024,"Abak",0.317647059,0.266666667,0.373913043,0.363934426,0.358412263,0.425644469,0.53,2,"june",1622
"63","Awka North","Uzo-Uwani",2020,"Awka North",0.438095238,0.342857143,0.286956522,0.410526316,0.388205397,0.450124783,0.53,1,"june",162
"64","Awka North","Uzo-Uwani",2023,"Awka North",0.438095238,0.342857143,0.286956522,0.410526316,0.388205397,0.450124783,0.53,2,"june",1257
"65","Abeokuta South","Uzo-Uwani",2021,"Abeokuta South",0.578117902,0.836654445,0.375224834,0.4573025,0.443245868,0.494533241,0.53,1,"june",527
"66","Eket","Nsit Ubium",2024,"Eket",0.563636364,0.533333333,0.55,0.518181818,0.238612216,0.328021397,0.53,2,"june",1622
"67","Abi","Obubra",2021,"Abi",0.84610383,0.650892796,0.626174519,0.766548821,0.400313882,0.46000802,0.53,1,"june",527
"68","Esit Eket","Nsit Ubium",2024,"Esit Eket",0.842857143,0.6,0.362162162,0.690566038,0.262279676,0.346897657,0.53,2,"june",1622
"69","Ado-Odo-Ota","Uzo-Uwani",2021,"Ado-Odo/Ota",0.637146656,0.647816926,0.489844266,0.50835722,0.405185074,0.46396913,0.53,1,"june",527
"70","Essien Udim","Ngor-Okpala",2024,"Essien Udim",0.60416306,0.61932543,0.301814961,0.448747098,0.369824263,0.435041855,0.53,2,"june",1622
"71","Akamkpa","Ngor-Okpala",2021,"Akamkpa",0.616996009,0.499737126,0.659918974,0.549381787,0.473355826,0.518082922,0.53,1,"june",527
"72","Etim Ekpo","Ngor-Okpala",2024,"Etim Ekpo",0.504424538,0.466473717,0.419305704,0.466910909,0.326319464,0.399175674,0.53,2,"june",1622
"73","Akko","Alkaleri",2021,"Akko",0.51899959,0.4148466,0.414430948,0.666775466,0.430348191,0.484262319,0.53,1,"july",551
"74","Etinan","Nsit Ubium",2024,"Etinan",0.430769231,0.366666667,0.402569073,0.342857143,0.271254927,0.35413511,0.53,2,"june",1622
"75","Akpabuyo","Nsit Ubium",2021,"Akpabuyo",0.540380114,0.444272456,0.501952894,0.582230957,0.417147714,0.473654536,0.53,1,"june",527
"76","Ibesikpo Asutan","Nsit Ubium",2024,"Ibesikpo Asutan",0.516326558,0.565384584,0.464150952,0.495373674,0.364757188,0.430871605,0.53,2,"june",1622
"77","Akwanga","Oke-Ero",2021,"Akwanga",1.022883221,1.000838317,0.927112838,0.992005115,0.509076895,0.545084849,0.53,1,"july",551
"78","Ibiono Ibom","Ngor-Okpala",2024,"Ibiono Ibom",0.880806712,0.764126427,0.547777775,0.718035164,0.383194312,0.446021174,0.53,2,"june",1622
"79","Aleiro","Birnin Kebbi",2021,"Aleiro",0.989226475,0.814967322,0.734978419,0.98771905,0.705366928,0.6684684,0.53,1,"august",588
"80","Ika","Ngor-Okpala",2024,"Ika",0.504424538,0.466473717,0.419305704,0.466910909,0.281330517,0.36230356,0.53,2,"june",1622
"81","Alkaleri","Alkaleri",2021,"Alkaleri",0.655387964,0.597922582,0.506625021,0.657443319,0.570092852,0.588317246,0.53,1,"july",551
"82","Ikono","Ngor-Okpala",2024,"Ikono",0.366666667,0.317647059,0.491666667,0.386440678,0.3504186,0.419053252,0.53,2,"june",1622
"83","Arewa-Dandi","Birnin Kebbi",2021,"Arewa-Dandi",1.144444444,1.026086957,0.96,1.139393939,0.736871845,0.683834101,0.53,1,"august",588
"84","Ikot Abasi","Nsit Ubium",2024,"Ikot Abasi",0.547826087,0.661538462,0.5,0.323076923,0.194063012,0.293529351,0.53,2,"june",1622
"85","Argungu","Birnin Kebbi",2021,"Argungu",1.080353787,0.939925815,0.850569606,1.078877198,0.749755556,0.689763899,0.53,1,"august",588
"86","Ikot Ekpene","Ngor-Okpala",2024,"Ikot Ekpene",0.25605449,0.466473717,0.400480127,0.316877293,0.356519334,0.424084125,0.53,2,"june",1622
"87","Augie","Birnin Kebbi",2021,"Augie",1.177777778,0.908333333,1.05,1.109090909,0.747566745,0.688770794,0.53,1,"august",588
"88","Ini","Ngor-Okpala",2024,"Ini",0.892307692,0.557142857,0.733333333,0.710204082,0.395911217,0.45642023,0.53,2,"june",1622
"89","Auyo","Taura",2021,"Auyo",0.927272727,0.892307692,0.971428571,0.947663551,0.676553245,0.65332251,0.53,1,"july",551
"90","Mkpat Enin","Nsit Ubium",2024,"Mkpat Enin",0.802843612,0.579341874,0.53631654,0.580262242,0.225930858,0.318051677,0.53,2,"june",1622
"91","Awe","Keana",2021,"Awe",0.805432934,0.629533507,0.668947384,0.932287966,0.564364244,0.584430432,0.53,1,"august",588
"92","Nsit Atai","Nsit Ubium",2024,"Nsit Atai",0.53446468,0.494193051,0.402569073,0.427821791,0.243345201,0.331769618,0.53,2,"june",1622
"93","Babura","Babura",2021,"Babura",1.074582296,1.042755015,0.94694856,1.061709269,0.754462934,0.691880002,0.53,1,"may",496
