LGA,Archetype,Habitat_Multiplier
Aba North,Ngor-Okpala,12.222708660637345
Aba South,Ngor-Okpala,12.222708660637345
Arochukwu,Ngor-Okpala,12.222708660637345
Bende,Ngor-Okpala,12.222708660637345
Ikwuano,Ngor-Okpala,12.222708660637345
Isiala-Ngwa North,Ngor-Okpala,12.222708660637345
Isiala-Ngwa South,Ngor-Okpala,12.222708660637345
Isuikwato,Ngor-Okpala,12.222708660637345
Obi Nwa,Ngor-Okpala,12.222708660637345
Ohafia,Ngor-Okpala,12.222708660637345
Osisioma Ngwa,Ngor-Okpala,12.222708660637345
Ugwunagbo,Ngor-Okpala,12.222708660637345
Ukwa East,Nsit Ubium,1.5863132275812326
Ukwa West,Nsit Ubium,1.5863132275812326
Umuahia North,Ngor-Okpala,12.222708660637345
Umuahia South,Ngor-Okpala,12.222708660637345
Umu-Neochi,Oru West,1.503630647308597
Demsa,Alkaleri,2.380589913740794
Fufore,Alkaleri,2.380589913740794
Ganaye,Alkaleri,2.380589913740794
Gireri,Darazo,5.872149408029068
Gombi,Alkaleri,2.380589913740794
Guyuk,Alkaleri,2.380589913740794
Hong,Darazo,5.872149408029068
Jada,Alkaleri,2.380589913740794
Lamurde,Alkaleri,2.380589913740794
Madagali,Darazo,5.872149408029068
Maiha,Alkaleri,2.380589913740794
Mayo-Belwa,Alkaleri,2.380589913740794
Michika,Darazo,5.872149408029068
Mubi North,Darazo,5.872149408029068
Mubi South,Darazo,5.872149408029068
Numan,Alkaleri,2.380589913740794
Shelleng,Darazo,5.872149408029068
Song,Darazo,5.872149408029068
Toungo,Keana,0.3755227709651473
Yola North,Alkaleri,2.380589913740794
Yola South,Alkaleri,2.380589913740794
Abak,Nsit Ubium,1.5863132275812326
Eastern Obolo,Nsit Ubium,1.5863132275812326
Eket,Nsit Ubium,1.5863132275812326
Esit Eket,Nsit Ubium,1.5863132275812326
Essien Udim,Ngor-Okpala,12.222708660637345
Etim Ekpo,Ngor-Okpala,12.222708660637345
Etinan,Nsit Ubium,1.5863132275812326
Ibeno,Nsit Ubium,1.5863132275812326
Ibesikpo Asutan,Nsit Ubium,1.5863132275812326
Ibiono Ibom,Ngor-Okpala,12.222708660637345
Ika,Ngor-Okpala,12.222708660637345
Ikono,Ngor-Okpala,12.222708660637345
Ikot Abasi,Nsit Ubium,1.5863132275812326
Ikot Ekpene,Ngor-Okpala,12.222708660637345
Ini,Ngor-Okpala,12.222708660637345
Itu,Ngor-Okpala,12.222708660637345
Mbo,Nsit Ubium,1.5863132275812326
Mkpat Enin,Nsit Ubium,1.5863132275812326
Nsit Atai,Nsit Ubium,1.5863132275812326
Nsit Ibom,Nsit Ubium,1.5863132275812326
Nsit Ubium,Nsit Ubium,1.5863132275812326
Obot Akara,Ngor-Okpala,12.222708660637345
Okobo,Nsit Ubium,1.5863132275812326
Onna,Nsit Ubium,1.5863132275812326
Oron,Nsit Ubium,1.5863132275812326
Oruk Anam,Nsit Ubium,1.5863132275812326
Udung Uko,Nsit Ubium,1.5863132275812326
Ukanafun,Nsit Ubium,1.5863132275812326
Uruan,Nsit Ubium,1.5863132275812326
Urue-Offong-Oruko,Nsit Ubium,1.5863132275812326
Uyo,Nsit Ubium,1.5863132275812326
Aguata,Oru West,1.503630647308597
Anambra East,Uzo-Uwani,0.14888028671038894
Anambra West,Uzo-Uwani,0.14888028671038894
Anaocha,Oru West,1.503630647308597
Awka North,Uzo-Uwani,0.14888028671038894
Awka South,Uzo-Uwani,0.14888028671038894
Ayamelum,Uzo-Uwani,0.14888028671038894
Dunukofia,Uzo-Uwani,0.14888028671038894
Ekwusigo,Oru West,1.503630647308597
Idemili North,Uzo-Uwani,0.14888028671038894
Idemili South,Oru West,1.503630647308597
Ihiala,Oru West,1.503630647308597
Njikoka,Uzo-Uwani,0.14888028671038894
Nnewi North,Oru West,1.503630647308597
Nnewi South,Oru West,1.503630647308597
Ogbaru,Ahoada West,1.0934952329718437
Onitsha North,Uzo-Uwani,0.14888028671038894
Onitsha South,Uzo-Uwani,0.14888028671038894
Orumba North,Oru West,1.503630647308597
Orumba South,Oru West,1.503630647308597
Oyi,Uzo-Uwani,0.14888028671038894
Alkaleri,Alkaleri,2.380589913740794
Bauchi,Alkaleri,2.380589913740794
Bogoro,Alkaleri,2.380589913740794
Damban,Darazo,5.872149408029068
Darazo,Darazo,5.872149408029068
Dass,Alkaleri,2.380589913740794
Gamawa,Gwarzo,13.632079934710973
Ganjuwa,Darazo,5.872149408029068
Giade,Darazo,5.872149408029068
Itas-Gadau,Taura,0.31238536111853804
Jama'are,Taura,0.31238536111853804
Katagum,Gwarzo,13.632079934710973
Kirfi,Alkaleri,2.380589913740794
Misau,Darazo,5.872149408029068
Ningi,Takali,10.838873439641814
Shira,Takali,10.838873439641814
Tafawa-Balewa,Alkaleri,2.380589913740794
Toro,Giwa,15.850514481670404
Warji,Takali,10.838873439641814
