LGA,Archetype,Habitat_Multiplier
Aba North,Ngor-Okpala,16.490853602635607
Aba South,Ngor-Okpala,16.490853602635607
Arochukwu,Ngor-Okpala,16.490853602635607
Bende,Ngor-Okpala,16.490853602635607
Ikwuano,Ngor-Okpala,16.490853602635607
Isiala-Ngwa North,Ngor-Okpala,16.490853602635607
Isiala-Ngwa South,Ngor-Okpala,16.490853602635607
Isuikwato,Ngor-Okpala,16.490853602635607
Obi Nwa,Ngor-Okpala,16.490853602635607
Ohafia,Ngor-Okpala,16.490853602635607
Osisioma Ngwa,Ngor-Okpala,16.490853602635607
Ugwunagbo,Ngor-Okpala,16.490853602635607
Ukwa East,Nsit Ubium,0.8686632584245287
Ukwa West,Nsit Ubium,0.8686632584245287
Umuahia North,Ngor-Okpala,16.490853602635607
Umuahia South,Ngor-Okpala,16.490853602635607
Umu-Neochi,Oru West,0.5819431863904744
Demsa,Alkaleri,1.333010806262109
Fufore,Alkaleri,1.333010806262109
Ganaye,Alkaleri,1.333010806262109
Gireri,Darazo,10.440245265927585
Gombi,Alkaleri,1.333010806262109
Guyuk,Alkaleri,1.333010806262109
Hong,Darazo,10.440245265927585
Jada,Alkaleri,1.333010806262109
Lamurde,Alkaleri,1.333010806262109
Madagali,Darazo,10.440245265927585
Maiha,Alkaleri,1.333010806262109
Mayo-Belwa,Alkaleri,1.333010806262109
Michika,Darazo,10.440245265927585
Mubi North,Darazo,10.440245265927585
Mubi South,Darazo,10.440245265927585
Numan,Alkaleri,1.333010806262109
Shelleng,Darazo,10.440245265927585
Song,Darazo,10.440245265927585
Toungo,Keana,0.5929489558525329
Yola North,Alkaleri,1.333010806262109
Yola South,Alkaleri,1.333010806262109
Abak,Nsit Ubium,0.8686632584245287
Eastern Obolo,Nsit Ubium,0.8686632584245287
Eket,Nsit Ubium,0.8686632584245287
Esit Eket,Nsit Ubium,0.8686632584245287
Essien Udim,Ngor-Okpala,16.490853602635607
Etim Ekpo,Ngor-Okpala,16.490853602635607
Etinan,Nsit Ubium,0.8686632584245287
Ibeno,Nsit Ubium,0.8686632584245287
Ibesikpo Asutan,Nsit Ubium,0.8686632584245287
Ibiono Ibom,Ngor-Okpala,16.490853602635607
Ika,Ngor-Okpala,16.490853602635607
Ikono,Ngor-Okpala,16.490853602635607
Ikot Abasi,Nsit Ubium,0.8686632584245287
Ikot Ekpene,Ngor-Okpala,16.490853602635607
Ini,Ngor-Okpala,16.490853602635607
Itu,Ngor-Okpala,16.490853602635607
Mbo,Nsit Ubium,0.8686632584245287
Mkpat Enin,Nsit Ubium,0.8686632584245287
Nsit Atai,Nsit Ubium,0.8686632584245287
Nsit Ibom,Nsit Ubium,0.8686632584245287
Nsit Ubium,Nsit Ubium,0.8686632584245287
Obot Akara,Ngor-Okpala,16.490853602635607
Okobo,Nsit Ubium,0.8686632584245287
Onna,Nsit Ubium,0.8686632584245287
Oron,Nsit Ubium,0.8686632584245287
Oruk Anam,Nsit Ubium,0.8686632584245287
Udung Uko,Nsit Ubium,0.8686632584245287
Ukanafun,Nsit Ubium,0.8686632584245287
Uruan,Nsit Ubium,0.8686632584245287
Urue-Offong-Oruko,Nsit Ubium,0.8686632584245287
Uyo,Nsit Ubium,0.8686632584245287
Aguata,Oru West,0.5819431863904744
Anambra East,Uzo-Uwani,0.20915130626086206
Anambra West,Uzo-Uwani,0.20915130626086206
Anaocha,Oru West,0.5819431863904744
Awka North,Uzo-Uwani,0.20915130626086206
Awka South,Uzo-Uwani,0.20915130626086206
Ayamelum,Uzo-Uwani,0.20915130626086206
Dunukofia,Uzo-Uwani,0.20915130626086206
Ekwusigo,Oru West,0.5819431863904744
Idemili North,Uzo-Uwani,0.20915130626086206
Idemili South,Oru West,0.5819431863904744
Ihiala,Oru West,0.5819431863904744
Njikoka,Uzo-Uwani,0.20915130626086206
Nnewi North,Oru West,0.5819431863904744
Nnewi South,Oru West,0.5819431863904744
Ogbaru,Ahoada West,4.033436218244916
Onitsha North,Uzo-Uwani,0.20915130626086206
Onitsha South,Uzo-Uwani,0.20915130626086206
Orumba North,Oru West,0.5819431863904744
Orumba South,Oru West,0.5819431863904744
Oyi,Uzo-Uwani,0.20915130626086206
Alkaleri,Alkaleri,1.333010806262109
Bauchi,Alkaleri,1.333010806262109
Bogoro,Alkaleri,1.333010806262109
Damban,Darazo,10.440245265927585
Darazo,Darazo,10.440245265927585
Dass,Alkaleri,1.333010806262109
Gamawa,Gwarzo,8.571984728660452
Ganjuwa,Darazo,10.440245265927585
Giade,Darazo,10.440245265927585
Itas-Gadau,Taura,0.3490146668947872
Jama'are,Taura,0.3490146668947872
Katagum,Gwarzo,8.571984728660452
Kirfi,Alkaleri,1.333010806262109
Misau,Darazo,10.440245265927585
Ningi,Takali,23.512672139555324
Shira,Takali,23.512672139555324
Tafawa-Balewa,Alkaleri,1.333010806262109
Toro,Giwa,11.343439421709766
Warji,Takali,23.512672139555324
Zaki,Taura,0.3490146668947872
