"year","State","scenario","indicator","count","trend","age"
2020,"Abia","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Abia","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Abia","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
2020,"Abia","NGA projection scenario 1","U5_incidence_percent_change",0,"Incidence per 1000","U5"
2020,"Abia","NGA projection scenario 1","death_percent_change",0,"Deaths per 1000","all_ages"
2020,"Abia","NGA projection scenario 1","U5_death_percent_change",0,"Deaths per 1000","U5"
2025,"Abia","NGA projection scenario 1","PfPR_percent_change",10.81,"Prevalence","all_ages"
2025,"Abia","NGA projection scenario 1","U5_PfPR_percent_change",9.68,"Prevalence","U5"
2025,"Abia","NGA projection scenario 1","incidence_percent_change",14.76,"Incidence per 1000","all_ages"
2025,"Abia","NGA projection scenario 1","U5_incidence_percent_change",11.11,"Incidence per 1000","U5"
2025,"Abia","NGA projection scenario 1","death_percent_change",4.08,"Deaths per 1000","all_ages"
2025,"Abia","NGA projection scenario 1","U5_death_percent_change",-0.3,"Deaths per 1000","U5"
2030,"Abia","NGA projection scenario 1","PfPR_percent_change",10.74,"Prevalence","all_ages"
2030,"Abia","NGA projection scenario 1","U5_PfPR_percent_change",7.37,"Prevalence","U5"
2030,"Abia","NGA projection scenario 1","incidence_percent_change",15.42,"Incidence per 1000","all_ages"
2030,"Abia","NGA projection scenario 1","U5_incidence_percent_change",10.74,"Incidence per 1000","U5"
2030,"Abia","NGA projection scenario 1","death_percent_change",14.41,"Deaths per 1000","all_ages"
2030,"Abia","NGA projection scenario 1","U5_death_percent_change",11.53,"Deaths per 1000","U5"
2020,"Adamawa","NGA projection scenario 1","PfPR_percent_change",0,"Prevalence","all_ages"
2020,"Adamawa","NGA projection scenario 1","U5_PfPR_percent_change",0,"Prevalence","U5"
2020,"Adamawa","NGA projection scenario 1","incidence_percent_change",0,"Incidence per 1000","all_ages"
