"","LGA","State","year","round","duration","coverage_high_access","coverage_low_access","max_age","month_new","simday"
"41210","Dutse","Jigawa",2030,4,-1,1,0.653558052,5,10,3920
"433","Dutsi","Katsina",2020,1,-1,1,0.975975976,5,7,186
"434","Dutsi","Katsina",2020,2,-1,1,0.977477477,5,8,214
"435","Dutsi","Katsina",2020,3,-1,1,0.951951952,5,9,242
"436","Dutsi","Katsina",2020,4,-1,1,0.363363363,5,10,270
"4331","Dutsi","Katsina",2021,1,-1,1,0.975975976,5,7,551
"4341","Dutsi","Katsina",2021,2,-1,1,0.977477477,5,8,579
"4351","Dutsi","Katsina",2021,3,-1,1,0.951951952,5,9,607
"4361","Dutsi","Katsina",2021,4,-1,1,0.363363363,5,10,635
"4332","Dutsi","Katsina",2022,1,-1,1,0.975975976,5,7,916
"4342","Dutsi","Katsina",2022,2,-1,1,0.977477477,5,8,944
"4352","Dutsi","Katsina",2022,3,-1,1,0.951951952,5,9,972
"4362","Dutsi","Katsina",2022,4,-1,1,0.363363363,5,10,1000
"4333","Dutsi","Katsina",2023,1,-1,1,0.975975976,5,7,1281
"4343","Dutsi","Katsina",2023,2,-1,1,0.977477477,5,8,1309
"4353","Dutsi","Katsina",2023,3,-1,1,0.951951952,5,9,1337
"4363","Dutsi","Katsina",2023,4,-1,1,0.363363363,5,10,1365
"4334","Dutsi","Katsina",2024,1,-1,1,0.975975976,5,7,1646
"4344","Dutsi","Katsina",2024,2,-1,1,0.977477477,5,8,1674
"4354","Dutsi","Katsina",2024,3,-1,1,0.951951952,5,9,1702
"4364","Dutsi","Katsina",2024,4,-1,1,0.363363363,5,10,1730
"4335","Dutsi","Katsina",2025,1,-1,1,0.975975976,5,7,2011
"4345","Dutsi","Katsina",2025,2,-1,1,0.977477477,5,8,2039
"4355","Dutsi","Katsina",2025,3,-1,1,0.951951952,5,9,2067
"4365","Dutsi","Katsina",2025,4,-1,1,0.363363363,5,10,2095
"4336","Dutsi","Katsina",2026,1,-1,1,0.975975976,5,7,2376
"4346","Dutsi","Katsina",2026,2,-1,1,0.977477477,5,8,2404
"4356","Dutsi","Katsina",2026,3,-1,1,0.951951952,5,9,2432
"4366","Dutsi","Katsina",2026,4,-1,1,0.363363363,5,10,2460
"4337","Dutsi","Katsina",2027,1,-1,1,0.975975976,5,7,2741
"4347","Dutsi","Katsina",2027,2,-1,1,0.977477477,5,8,2769
"4357","Dutsi","Katsina",2027,3,-1,1,0.951951952,5,9,2797
"4367","Dutsi","Katsina",2027,4,-1,1,0.363363363,5,10,2825
"4338","Dutsi","Katsina",2028,1,-1,1,0.975975976,5,7,3106
"4348","Dutsi","Katsina",2028,2,-1,1,0.977477477,5,8,3134
"4358","Dutsi","Katsina",2028,3,-1,1,0.951951952,5,9,3162
"4368","Dutsi","Katsina",2028,4,-1,1,0.363363363,5,10,3190
"4339","Dutsi","Katsina",2029,1,-1,1,0.975975976,5,7,3471
"4349","Dutsi","Katsina",2029,2,-1,1,0.977477477,5,8,3499
"4359","Dutsi","Katsina",2029,3,-1,1,0.951951952,5,9,3527
"4369","Dutsi","Katsina",2029,4,-1,1,0.363363363,5,10,3555
"43310","Dutsi","Katsina",2030,1,-1,1,0.975975976,5,7,3836
"43410","Dutsi","Katsina",2030,2,-1,1,0.977477477,5,8,3864
"43510","Dutsi","Katsina",2030,3,-1,1,0.951951952,5,9,3892
"43610","Dutsi","Katsina",2030,4,-1,1,0.363363363,5,10,3920
"457","Gada","Sokoto",2020,1,-1,1,0.969736842,5,7,186
"458","Gada","Sokoto",2020,2,-1,1,0.994736842,5,8,214
"459","Gada","Sokoto",2020,3,-1,1,0.992105263,5,9,242
"460","Gada","Sokoto",2020,4,-1,1,0.45,5,10,270
"4571","Gada","Sokoto",2021,1,-1,1,0.969736842,5,7,551
"4581","Gada","Sokoto",2021,2,-1,1,0.994736842,5,8,579
"4591","Gada","Sokoto",2021,3,-1,1,0.992105263,5,9,607
"4601","Gada","Sokoto",2021,4,-1,1,0.45,5,10,635
"4572","Gada","Sokoto",2022,1,-1,1,0.969736842,5,7,916
"4582","Gada","Sokoto",2022,2,-1,1,0.994736842,5,8,944
"4592","Gada","Sokoto",2022,3,-1,1,0.992105263,5,9,972
"4602","Gada","Sokoto",2022,4,-1,1,0.45,5,10,1000
"4573","Gada","Sokoto",2023,1,-1,1,0.969736842,5,7,1281
"4583","Gada","Sokoto",2023,2,-1,1,0.994736842,5,8,1309
"4593","Gada","Sokoto",2023,3,-1,1,0.992105263,5,9,1337
"4603","Gada","Sokoto",2023,4,-1,1,0.45,5,10,1365
"4574","Gada","Sokoto",2024,1,-1,1,0.969736842,5,7,1646
"4584","Gada","Sokoto",2024,2,-1,1,0.994736842,5,8,1674
"4594","Gada","Sokoto",2024,3,-1,1,0.992105263,5,9,1702
"4604","Gada","Sokoto",2024,4,-1,1,0.45,5,10,1730
"4575","Gada","Sokoto",2025,1,-1,1,0.969736842,5,7,2011
"4585","Gada","Sokoto",2025,2,-1,1,0.994736842,5,8,2039
"4595","Gada","Sokoto",2025,3,-1,1,0.992105263,5,9,2067
"4605","Gada","Sokoto",2025,4,-1,1,0.45,5,10,2095
"4576","Gada","Sokoto",2026,1,-1,1,0.969736842,5,7,2376
"4586","Gada","Sokoto",2026,2,-1,1,0.994736842,5,8,2404
"4596","Gada","Sokoto",2026,3,-1,1,0.992105263,5,9,2432
"4606","Gada","Sokoto",2026,4,-1,1,0.45,5,10,2460
"4577","Gada","Sokoto",2027,1,-1,1,0.969736842,5,7,2741
"4587","Gada","Sokoto",2027,2,-1,1,0.994736842,5,8,2769
"4597","Gada","Sokoto",2027,3,-1,1,0.992105263,5,9,2797
"4607","Gada","Sokoto",2027,4,-1,1,0.45,5,10,2825
"4578","Gada","Sokoto",2028,1,-1,1,0.969736842,5,7,3106
"4588","Gada","Sokoto",2028,2,-1,1,0.994736842,5,8,3134
"4598","Gada","Sokoto",2028,3,-1,1,0.992105263,5,9,3162
"4608","Gada","Sokoto",2028,4,-1,1,0.45,5,10,3190
"4579","Gada","Sokoto",2029,1,-1,1,0.969736842,5,7,3471
"4589","Gada","Sokoto",2029,2,-1,1,0.994736842,5,8,3499
"4599","Gada","Sokoto",2029,3,-1,1,0.992105263,5,9,3527
"4609","Gada","Sokoto",2029,4,-1,1,0.45,5,10,3555
"45710","Gada","Sokoto",2030,1,-1,1,0.969736842,5,7,3836
"45810","Gada","Sokoto",2030,2,-1,1,0.994736842,5,8,3864
"45910","Gada","Sokoto",2030,3,-1,1,0.992105263,5,9,3892
"46010","Gada","Sokoto",2030,4,-1,1,0.45,5,10,3920
"481","Gagarawa","Jigawa",2020,1,-1,1,0.934456929,5,7,186
"482","Gagarawa","Jigawa",2020,2,-1,1,0.973782772,5,8,214
"483","Gagarawa","Jigawa",2020,3,-1,1,0.975655431,5,9,242
"484","Gagarawa","Jigawa",2020,4,-1,1,0.653558052,5,10,270
"4811","Gagarawa","Jigawa",2021,1,-1,1,0.934456929,5,7,551
"4821","Gagarawa","Jigawa",2021,2,-1,1,0.973782772,5,8,579
"4831","Gagarawa","Jigawa",2021,3,-1,1,0.975655431,5,9,607
"4841","Gagarawa","Jigawa",2021,4,-1,1,0.653558052,5,10,635
"4812","Gagarawa","Jigawa",2022,1,-1,1,0.934456929,5,7,916
"4822","Gagarawa","Jigawa",2022,2,-1,1,0.973782772,5,8,944
"4832","Gagarawa","Jigawa",2022,3,-1,1,0.975655431,5,9,972
"4842","Gagarawa","Jigawa",2022,4,-1,1,0.653558052,5,10,1000
"4813","Gagarawa","Jigawa",2023,1,-1,1,0.934456929,5,7,1281
"4823","Gagarawa","Jigawa",2023,2,-1,1,0.973782772,5,8,1309
"4833","Gagarawa","Jigawa",2023,3,-1,1,0.975655431,5,9,1337
"4843","Gagarawa","Jigawa",2023,4,-1,1,0.653558052,5,10,1365
"4814","Gagarawa","Jigawa",2024,1,-1,1,0.934456929,5,7,1646
"4824","Gagarawa","Jigawa",2024,2,-1,1,0.973782772,5,8,1674
"4834","Gagarawa","Jigawa",2024,3,-1,1,0.975655431,5,9,1702
"4844","Gagarawa","Jigawa",2024,4,-1,1,0.653558052,5,10,1730
"4815","Gagarawa","Jigawa",2025,1,-1,1,0.934456929,5,7,2011
"4825","Gagarawa","Jigawa",2025,2,-1,1,0.973782772,5,8,2039
"4835","Gagarawa","Jigawa",2025,3,-1,1,0.975655431,5,9,2067
"4845","Gagarawa","Jigawa",2025,4,-1,1,0.653558052,5,10,2095
"4816","Gagarawa","Jigawa",2026,1,-1,1,0.934456929,5,7,2376
"4826","Gagarawa","Jigawa",2026,2,-1,1,0.973782772,5,8,2404
"4836","Gagarawa","Jigawa",2026,3,-1,1,0.975655431,5,9,2432
"4846","Gagarawa","Jigawa",2026,4,-1,1,0.653558052,5,10,2460
"4817","Gagarawa","Jigawa",2027,1,-1,1,0.934456929,5,7,2741
"4827","Gagarawa","Jigawa",2027,2,-1,1,0.973782772,5,8,2769
"4837","Gagarawa","Jigawa",2027,3,-1,1,0.975655431,5,9,2797
"4847","Gagarawa","Jigawa",2027,4,-1,1,0.653558052,5,10,2825
"4818","Gagarawa","Jigawa",2028,1,-1,1,0.934456929,5,7,3106
"4828","Gagarawa","Jigawa",2028,2,-1,1,0.973782772,5,8,3134
"4838","Gagarawa","Jigawa",2028,3,-1,1,0.975655431,5,9,3162
"4848","Gagarawa","Jigawa",2028,4,-1,1,0.653558052,5,10,3190
"4819","Gagarawa","Jigawa",2029,1,-1,1,0.934456929,5,7,3471
"4829","Gagarawa","Jigawa",2029,2,-1,1,0.973782772,5,8,3499
"4839","Gagarawa","Jigawa",2029,3,-1,1,0.975655431,5,9,3527
"4849","Gagarawa","Jigawa",2029,4,-1,1,0.653558052,5,10,3555
"48110","Gagarawa","Jigawa",2030,1,-1,1,0.934456929,5,7,3836
"48210","Gagarawa","Jigawa",2030,2,-1,1,0.973782772,5,8,3864
"48310","Gagarawa","Jigawa",2030,3,-1,1,0.975655431,5,9,3892
"48410","Gagarawa","Jigawa",2030,4,-1,1,0.653558052,5,10,3920
"505","Garki","Jigawa",2020,1,-1,1,0.934456929,5,7,186
"506","Garki","Jigawa",2020,2,-1,1,0.973782772,5,8,214
"507","Garki","Jigawa",2020,3,-1,1,0.975655431,5,9,242
"508","Garki","Jigawa",2020,4,-1,1,0.653558052,5,10,270
"5051","Garki","Jigawa",2021,1,-1,1,0.934456929,5,7,551
"5061","Garki","Jigawa",2021,2,-1,1,0.973782772,5,8,579
"5071","Garki","Jigawa",2021,3,-1,1,0.975655431,5,9,607
"5081","Garki","Jigawa",2021,4,-1,1,0.653558052,5,10,635
"5052","Garki","Jigawa",2022,1,-1,1,0.934456929,5,7,916
"5062","Garki","Jigawa",2022,2,-1,1,0.973782772,5,8,944
"5072","Garki","Jigawa",2022,3,-1,1,0.975655431,5,9,972
"5082","Garki","Jigawa",2022,4,-1,1,0.653558052,5,10,1000
"5053","Garki","Jigawa",2023,1,-1,1,0.934456929,5,7,1281
"5063","Garki","Jigawa",2023,2,-1,1,0.973782772,5,8,1309
"5073","Garki","Jigawa",2023,3,-1,1,0.975655431,5,9,1337
"5083","Garki","Jigawa",2023,4,-1,1,0.653558052,5,10,1365
"5054","Garki","Jigawa",2024,1,-1,1,0.934456929,5,7,1646
"5064","Garki","Jigawa",2024,2,-1,1,0.973782772,5,8,1674
"5074","Garki","Jigawa",2024,3,-1,1,0.975655431,5,9,1702
"5084","Garki","Jigawa",2024,4,-1,1,0.653558052,5,10,1730
"5055","Garki","Jigawa",2025,1,-1,1,0.934456929,5,7,2011
"5065","Garki","Jigawa",2025,2,-1,1,0.973782772,5,8,2039
"5075","Garki","Jigawa",2025,3,-1,1,0.975655431,5,9,2067
"5085","Garki","Jigawa",2025,4,-1,1,0.653558052,5,10,2095
"5056","Garki","Jigawa",2026,1,-1,1,0.934456929,5,7,2376
"5066","Garki","Jigawa",2026,2,-1,1,0.973782772,5,8,2404
"5076","Garki","Jigawa",2026,3,-1,1,0.975655431,5,9,2432
"5086","Garki","Jigawa",2026,4,-1,1,0.653558052,5,10,2460
"5057","Garki","Jigawa",2027,1,-1,1,0.934456929,5,7,2741
"5067","Garki","Jigawa",2027,2,-1,1,0.973782772,5,8,2769
"5077","Garki","Jigawa",2027,3,-1,1,0.975655431,5,9,2797
"5087","Garki","Jigawa",2027,4,-1,1,0.653558052,5,10,2825
"5058","Garki","Jigawa",2028,1,-1,1,0.934456929,5,7,3106
"5068","Garki","Jigawa",2028,2,-1,1,0.973782772,5,8,3134
"5078","Garki","Jigawa",2028,3,-1,1,0.975655431,5,9,3162
"5088","Garki","Jigawa",2028,4,-1,1,0.653558052,5,10,3190
"5059","Garki","Jigawa",2029,1,-1,1,0.934456929,5,7,3471
"5069","Garki","Jigawa",2029,2,-1,1,0.973782772,5,8,3499
"5079","Garki","Jigawa",2029,3,-1,1,0.975655431,5,9,3527
"5089","Garki","Jigawa",2029,4,-1,1,0.653558052,5,10,3555
"50510","Garki","Jigawa",2030,1,-1,1,0.934456929,5,7,3836
"50610","Garki","Jigawa",2030,2,-1,1,0.973782772,5,8,3864
"50710","Garki","Jigawa",2030,3,-1,1,0.975655431,5,9,3892
"50810","Garki","Jigawa",2030,4,-1,1,0.653558052,5,10,3920
"529","Gawabawa","Sokoto",2020,1,-1,1,0.969736842,5,7,186
"530","Gawabawa","Sokoto",2020,2,-1,1,0.994736842,5,8,214
"531","Gawabawa","Sokoto",2020,3,-1,1,0.992105263,5,9,242
"532","Gawabawa","Sokoto",2020,4,-1,1,0.45,5,10,270
"5291","Gawabawa","Sokoto",2021,1,-1,1,0.969736842,5,7,551
"5301","Gawabawa","Sokoto",2021,2,-1,1,0.994736842,5,8,579
"5311","Gawabawa","Sokoto",2021,3,-1,1,0.992105263,5,9,607
"5321","Gawabawa","Sokoto",2021,4,-1,1,0.45,5,10,635
"5292","Gawabawa","Sokoto",2022,1,-1,1,0.969736842,5,7,916
"5302","Gawabawa","Sokoto",2022,2,-1,1,0.994736842,5,8,944
"5312","Gawabawa","Sokoto",2022,3,-1,1,0.992105263,5,9,972
"5322","Gawabawa","Sokoto",2022,4,-1,1,0.45,5,10,1000
"5293","Gawabawa","Sokoto",2023,1,-1,1,0.969736842,5,7,1281
"5303","Gawabawa","Sokoto",2023,2,-1,1,0.994736842,5,8,1309
"5313","Gawabawa","Sokoto",2023,3,-1,1,0.992105263,5,9,1337
"5323","Gawabawa","Sokoto",2023,4,-1,1,0.45,5,10,1365
"5294","Gawabawa","Sokoto",2024,1,-1,1,0.969736842,5,7,1646
"5304","Gawabawa","Sokoto",2024,2,-1,1,0.994736842,5,8,1674
"5314","Gawabawa","Sokoto",2024,3,-1,1,0.992105263,5,9,1702
"5324","Gawabawa","Sokoto",2024,4,-1,1,0.45,5,10,1730
"5295","Gawabawa","Sokoto",2025,1,-1,1,0.969736842,5,7,2011
"5305","Gawabawa","Sokoto",2025,2,-1,1,0.994736842,5,8,2039
"5315","Gawabawa","Sokoto",2025,3,-1,1,0.992105263,5,9,2067
"5325","Gawabawa","Sokoto",2025,4,-1,1,0.45,5,10,2095
"5296","Gawabawa","Sokoto",2026,1,-1,1,0.969736842,5,7,2376
"5306","Gawabawa","Sokoto",2026,2,-1,1,0.994736842,5,8,2404
"5316","Gawabawa","Sokoto",2026,3,-1,1,0.992105263,5,9,2432
"5326","Gawabawa","Sokoto",2026,4,-1,1,0.45,5,10,2460
"5297","Gawabawa","Sokoto",2027,1,-1,1,0.969736842,5,7,2741
"5307","Gawabawa","Sokoto",2027,2,-1,1,0.994736842,5,8,2769
"5317","Gawabawa","Sokoto",2027,3,-1,1,0.992105263,5,9,2797
"5327","Gawabawa","Sokoto",2027,4,-1,1,0.45,5,10,2825
"5298","Gawabawa","Sokoto",2028,1,-1,1,0.969736842,5,7,3106
"5308","Gawabawa","Sokoto",2028,2,-1,1,0.994736842,5,8,3134
"5318","Gawabawa","Sokoto",2028,3,-1,1,0.992105263,5,9,3162
"5328","Gawabawa","Sokoto",2028,4,-1,1,0.45,5,10,3190
"5299","Gawabawa","Sokoto",2029,1,-1,1,0.969736842,5,7,3471
"5309","Gawabawa","Sokoto",2029,2,-1,1,0.994736842,5,8,3499
"5319","Gawabawa","Sokoto",2029,3,-1,1,0.992105263,5,9,3527
"5329","Gawabawa","Sokoto",2029,4,-1,1,0.45,5,10,3555
"52910","Gawabawa","Sokoto",2030,1,-1,1,0.969736842,5,7,3836
"53010","Gawabawa","Sokoto",2030,2,-1,1,0.994736842,5,8,3864
"53110","Gawabawa","Sokoto",2030,3,-1,1,0.992105263,5,9,3892
"53210","Gawabawa","Sokoto",2030,4,-1,1,0.45,5,10,3920
"553","Goronyo","Sokoto",2020,1,-1,1,0.969736842,5,7,186
"554","Goronyo","Sokoto",2020,2,-1,1,0.994736842,5,8,214
"555","Goronyo","Sokoto",2020,3,-1,1,0.992105263,5,9,242
"556","Goronyo","Sokoto",2020,4,-1,1,0.45,5,10,270
"5531","Goronyo","Sokoto",2021,1,-1,1,0.969736842,5,7,551
"5541","Goronyo","Sokoto",2021,2,-1,1,0.994736842,5,8,579
"5551","Goronyo","Sokoto",2021,3,-1,1,0.992105263,5,9,607
"5561","Goronyo","Sokoto",2021,4,-1,1,0.45,5,10,635
"5532","Goronyo","Sokoto",2022,1,-1,1,0.969736842,5,7,916
"5542","Goronyo","Sokoto",2022,2,-1,1,0.994736842,5,8,944
"5552","Goronyo","Sokoto",2022,3,-1,1,0.992105263,5,9,972
"5562","Goronyo","Sokoto",2022,4,-1,1,0.45,5,10,1000
"5533","Goronyo","Sokoto",2023,1,-1,1,0.969736842,5,7,1281
"5543","Goronyo","Sokoto",2023,2,-1,1,0.994736842,5,8,1309
"5553","Goronyo","Sokoto",2023,3,-1,1,0.992105263,5,9,1337
"5563","Goronyo","Sokoto",2023,4,-1,1,0.45,5,10,1365
"5534","Goronyo","Sokoto",2024,1,-1,1,0.969736842,5,7,1646
"5544","Goronyo","Sokoto",2024,2,-1,1,0.994736842,5,8,1674
"5554","Goronyo","Sokoto",2024,3,-1,1,0.992105263,5,9,1702
"5564","Goronyo","Sokoto",2024,4,-1,1,0.45,5,10,1730
"5535","Goronyo","Sokoto",2025,1,-1,1,0.969736842,5,7,2011
"5545","Goronyo","Sokoto",2025,2,-1,1,0.994736842,5,8,2039
"5555","Goronyo","Sokoto",2025,3,-1,1,0.992105263,5,9,2067
"5565","Goronyo","Sokoto",2025,4,-1,1,0.45,5,10,2095
"5536","Goronyo","Sokoto",2026,1,-1,1,0.969736842,5,7,2376
"5546","Goronyo","Sokoto",2026,2,-1,1,0.994736842,5,8,2404
"5556","Goronyo","Sokoto",2026,3,-1,1,0.992105263,5,9,2432
"5566","Goronyo","Sokoto",2026,4,-1,1,0.45,5,10,2460
"5537","Goronyo","Sokoto",2027,1,-1,1,0.969736842,5,7,2741
"5547","Goronyo","Sokoto",2027,2,-1,1,0.994736842,5,8,2769
"5557","Goronyo","Sokoto",2027,3,-1,1,0.992105263,5,9,2797
"5567","Goronyo","Sokoto",2027,4,-1,1,0.45,5,10,2825
"5538","Goronyo","Sokoto",2028,1,-1,1,0.969736842,5,7,3106
"5548","Goronyo","Sokoto",2028,2,-1,1,0.994736842,5,8,3134
"5558","Goronyo","Sokoto",2028,3,-1,1,0.992105263,5,9,3162
"5568","Goronyo","Sokoto",2028,4,-1,1,0.45,5,10,3190
"5539","Goronyo","Sokoto",2029,1,-1,1,0.969736842,5,7,3471
"5549","Goronyo","Sokoto",2029,2,-1,1,0.994736842,5,8,3499
"5559","Goronyo","Sokoto",2029,3,-1,1,0.992105263,5,9,3527
"5569","Goronyo","Sokoto",2029,4,-1,1,0.45,5,10,3555
"55310","Goronyo","Sokoto",2030,1,-1,1,0.969736842,5,7,3836
"55410","Goronyo","Sokoto",2030,2,-1,1,0.994736842,5,8,3864
"55510","Goronyo","Sokoto",2030,3,-1,1,0.992105263,5,9,3892
"55610","Goronyo","Sokoto",2030,4,-1,1,0.45,5,10,3920
"577","Gudu","Sokoto",2020,1,-1,1,0.969736842,5,7,186
"578","Gudu","Sokoto",2020,2,-1,1,0.994736842,5,8,214
"579","Gudu","Sokoto",2020,3,-1,1,0.992105263,5,9,242
"580","Gudu","Sokoto",2020,4,-1,1,0.45,5,10,270
"5771","Gudu","Sokoto",2021,1,-1,1,0.969736842,5,7,551
"5781","Gudu","Sokoto",2021,2,-1,1,0.994736842,5,8,579
"5791","Gudu","Sokoto",2021,3,-1,1,0.992105263,5,9,607
"5801","Gudu","Sokoto",2021,4,-1,1,0.45,5,10,635
"5772","Gudu","Sokoto",2022,1,-1,1,0.969736842,5,7,916
"5782","Gudu","Sokoto",2022,2,-1,1,0.994736842,5,8,944
"5792","Gudu","Sokoto",2022,3,-1,1,0.992105263,5,9,972
"5802","Gudu","Sokoto",2022,4,-1,1,0.45,5,10,1000
"5773","Gudu","Sokoto",2023,1,-1,1,0.969736842,5,7,1281
"5783","Gudu","Sokoto",2023,2,-1,1,0.994736842,5,8,1309
"5793","Gudu","Sokoto",2023,3,-1,1,0.992105263,5,9,1337
"5803","Gudu","Sokoto",2023,4,-1,1,0.45,5,10,1365
"5774","Gudu","Sokoto",2024,1,-1,1,0.969736842,5,7,1646
"5784","Gudu","Sokoto",2024,2,-1,1,0.994736842,5,8,1674
"5794","Gudu","Sokoto",2024,3,-1,1,0.992105263,5,9,1702
"5804","Gudu","Sokoto",2024,4,-1,1,0.45,5,10,1730
"5775","Gudu","Sokoto",2025,1,-1,1,0.969736842,5,7,2011
"5785","Gudu","Sokoto",2025,2,-1,1,0.994736842,5,8,2039
"5795","Gudu","Sokoto",2025,3,-1,1,0.992105263,5,9,2067
"5805","Gudu","Sokoto",2025,4,-1,1,0.45,5,10,2095
"5776","Gudu","Sokoto",2026,1,-1,1,0.969736842,5,7,2376
"5786","Gudu","Sokoto",2026,2,-1,1,0.994736842,5,8,2404
"5796","Gudu","Sokoto",2026,3,-1,1,0.992105263,5,9,2432
"5806","Gudu","Sokoto",2026,4,-1,1,0.45,5,10,2460
"5777","Gudu","Sokoto",2027,1,-1,1,0.969736842,5,7,2741
"5787","Gudu","Sokoto",2027,2,-1,1,0.994736842,5,8,2769
"5797","Gudu","Sokoto",2027,3,-1,1,0.992105263,5,9,2797
"5807","Gudu","Sokoto",2027,4,-1,1,0.45,5,10,2825
"5778","Gudu","Sokoto",2028,1,-1,1,0.969736842,5,7,3106
"5788","Gudu","Sokoto",2028,2,-1,1,0.994736842,5,8,3134
"5798","Gudu","Sokoto",2028,3,-1,1,0.992105263,5,9,3162
"5808","Gudu","Sokoto",2028,4,-1,1,0.45,5,10,3190
"5779","Gudu","Sokoto",2029,1,-1,1,0.969736842,5,7,3471
"5789","Gudu","Sokoto",2029,2,-1,1,0.994736842,5,8,3499
"5799","Gudu","Sokoto",2029,3,-1,1,0.992105263,5,9,3527
"5809","Gudu","Sokoto",2029,4,-1,1,0.45,5,10,3555
"57710","Gudu","Sokoto",2030,1,-1,1,0.969736842,5,7,3836
"57810","Gudu","Sokoto",2030,2,-1,1,0.994736842,5,8,3864
"57910","Gudu","Sokoto",2030,3,-1,1,0.992105263,5,9,3892
"58010","Gudu","Sokoto",2030,4,-1,1,0.45,5,10,3920
"601","Gumel","Jigawa",2020,2,-1,1,0.973782772,5,8,214
"602","Gumel","Jigawa",2020,3,-1,1,0.975655431,5,9,242
"603","Gumel","Jigawa",2020,4,-1,1,0.653558052,5,10,270
"604","Gumel","Jigawa",2020,1,-1,1,0.934456929,5,7,186
"6011","Gumel","Jigawa",2021,2,-1,1,0.973782772,5,8,579
"6021","Gumel","Jigawa",2021,3,-1,1,0.975655431,5,9,607
"6031","Gumel","Jigawa",2021,4,-1,1,0.653558052,5,10,635
"6041","Gumel","Jigawa",2021,1,-1,1,0.934456929,5,7,551
"6012","Gumel","Jigawa",2022,2,-1,1,0.973782772,5,8,944
"6022","Gumel","Jigawa",2022,3,-1,1,0.975655431,5,9,972
"6032","Gumel","Jigawa",2022,4,-1,1,0.653558052,5,10,1000
"6042","Gumel","Jigawa",2022,1,-1,1,0.934456929,5,7,916
"6013","Gumel","Jigawa",2023,2,-1,1,0.973782772,5,8,1309
"6023","Gumel","Jigawa",2023,3,-1,1,0.975655431,5,9,1337
"6033","Gumel","Jigawa",2023,4,-1,1,0.653558052,5,10,1365
"6043","Gumel","Jigawa",2023,1,-1,1,0.934456929,5,7,1281
"6014","Gumel","Jigawa",2024,2,-1,1,0.973782772,5,8,1674
"6024","Gumel","Jigawa",2024,3,-1,1,0.975655431,5,9,1702
"6034","Gumel","Jigawa",2024,4,-1,1,0.653558052,5,10,1730
"6044","Gumel","Jigawa",2024,1,-1,1,0.934456929,5,7,1646
"6015","Gumel","Jigawa",2025,2,-1,1,0.973782772,5,8,2039
"6025","Gumel","Jigawa",2025,3,-1,1,0.975655431,5,9,2067
"6035","Gumel","Jigawa",2025,4,-1,1,0.653558052,5,10,2095
"6045","Gumel","Jigawa",2025,1,-1,1,0.934456929,5,7,2011
"6016","Gumel","Jigawa",2026,2,-1,1,0.973782772,5,8,2404
"6026","Gumel","Jigawa",2026,3,-1,1,0.975655431,5,9,2432
"6036","Gumel","Jigawa",2026,4,-1,1,0.653558052,5,10,2460
"6046","Gumel","Jigawa",2026,1,-1,1,0.934456929,5,7,2376
"6017","Gumel","Jigawa",2027,2,-1,1,0.973782772,5,8,2769
"6027","Gumel","Jigawa",2027,3,-1,1,0.975655431,5,9,2797
"6037","Gumel","Jigawa",2027,4,-1,1,0.653558052,5,10,2825
"6047","Gumel","Jigawa",2027,1,-1,1,0.934456929,5,7,2741
"6018","Gumel","Jigawa",2028,2,-1,1,0.973782772,5,8,3134
"6028","Gumel","Jigawa",2028,3,-1,1,0.975655431,5,9,3162
"6038","Gumel","Jigawa",2028,4,-1,1,0.653558052,5,10,3190
"6048","Gumel","Jigawa",2028,1,-1,1,0.934456929,5,7,3106
"6019","Gumel","Jigawa",2029,2,-1,1,0.973782772,5,8,3499
"6029","Gumel","Jigawa",2029,3,-1,1,0.975655431,5,9,3527
"6039","Gumel","Jigawa",2029,4,-1,1,0.653558052,5,10,3555
"6049","Gumel","Jigawa",2029,1,-1,1,0.934456929,5,7,3471
"60110","Gumel","Jigawa",2030,2,-1,1,0.973782772,5,8,3864
"60210","Gumel","Jigawa",2030,3,-1,1,0.975655431,5,9,3892
"60310","Gumel","Jigawa",2030,4,-1,1,0.653558052,5,10,3920
"60410","Gumel","Jigawa",2030,1,-1,1,0.934456929,5,7,3836
"625","Gummi","Zamfara",2020,1,-1,1,0.854974705,5,7,186
"626","Gummi","Zamfara",2020,2,-1,1,0.927487352,5,8,214
"627","Gummi","Zamfara",2020,3,-1,1,0.937605396,5,9,242
"628","Gummi","Zamfara",2020,4,-1,1,0.268128162,5,10,270
"6251","Gummi","Zamfara",2021,1,-1,1,0.854974705,5,7,551
"6261","Gummi","Zamfara",2021,2,-1,1,0.927487352,5,8,579
"6271","Gummi","Zamfara",2021,3,-1,1,0.937605396,5,9,607
"6281","Gummi","Zamfara",2021,4,-1,1,0.268128162,5,10,635
"6252","Gummi","Zamfara",2022,1,-1,1,0.854974705,5,7,916
"6262","Gummi","Zamfara",2022,2,-1,1,0.927487352,5,8,944
"6272","Gummi","Zamfara",2022,3,-1,1,0.937605396,5,9,972
"6282","Gummi","Zamfara",2022,4,-1,1,0.268128162,5,10,1000
"6253","Gummi","Zamfara",2023,1,-1,1,0.854974705,5,7,1281
"6263","Gummi","Zamfara",2023,2,-1,1,0.927487352,5,8,1309
"6273","Gummi","Zamfara",2023,3,-1,1,0.937605396,5,9,1337
"6283","Gummi","Zamfara",2023,4,-1,1,0.268128162,5,10,1365
