,DS,2010,kill_rate_10
0,Aba North,0.664347768,0.64658918
1,Aba South,0.679282288,0.654802144
2,Arochukwu,0.74271852,0.686550252
3,Bende,0.726171783,0.678754065
4,Ikwuano,0.740677948,0.685607046
5,Isiala-Ngwa North,0.701948872,0.666726593
6,Isiala-Ngwa South,0.707413192,0.669504113
7,Isuikwato,0.67890702,0.654599242
8,Obi Nwa,0.664726957,0.646801213
9,Ohafia,0.722587577,0.67702065
10,Osisioma Ngwa,0.698571212,0.664990895
11,Ugwunagbo,0.669926882,0.649690458
12,Ukwa East,0.632018053,0.627841748
13,Ukwa West,0.643135702,0.634437603
14,Umu-Neochi,0.710486252,0.671049644
15,Umuahia North,0.708964714,0.670285902
16,Umuahia South,0.741074884,0.68579092
17,Demsa,0.682426293,0.65649504
18,Gireri,0.82233503,0.71948946
19,Gombi,0.76594056,0.696927436
20,Guyuk,0.778302555,0.70218796
21,Hong,0.767867325,0.697759281
22,Lamurde,0.67809547,0.654159837
23,Mayo-Belwa,0.778428003,0.702240418
24,Numan,0.660911548,0.644659411
25,Shelleng,0.789099036,0.706635345
26,Itu,0.755045361,0.692139954
27,Song,0.753191828,0.691311251
28,Yola North,0.790520086,0.707210629
29,Yola South,0.808341873,0.714229115
30,Abak,0.722364563,0.676912266
31,Awka North,0.680859867,0.655653163
32,Eket,0.501924954,0.539769474
33,Esit Eket,0.56467996,0.584645618
34,Essien Udim,0.69176266,0.661448321
35,Etim Ekpo,0.652101433,0.639643251
36,Etinan,0.650310238,0.63861138
37,Ibesikpo Asutan,0.738593362,0.684638218
38,Ibiono Ibom,0.732690811,0.681865941
39,Ika,0.606536806,0.612142316
40,Ikono,0.704140083,0.667844906
41,Ikot Abasi,0.461703936,0.509046886
42,Ikot Ekpene,0.688593358,0.65977928
43,Ini,0.72084199,0.676170645
44,Mkpat Enin,0.539387087,0.567054706
45,Nsit Atai,0.657397389,0.642670375
46,Nsit Ibom,0.749828418,0.689796857
47,Nsit Ubium,0.601950877,0.609231886
48,Awka South,0.705964916,0.668771615
49,Obot Akara,0.69367019,0.662446746
50,Okobo,0.598109468,0.606774275
51,Onna,0.453449653,0.502585257
52,Oruk Anam,0.677306988,0.65373212
53,Ukanafun,0.678976411,0.654636774
54,Uruan,0.713169864,0.672389608
55,Urue-Offong/Oruko,0.517587777,0.551346698
56,Ayamelum,0.714672874,0.673136135
57,Uyo,0.728601426,0.679920021
58,Aguata,0.746131849,0.688116587
59,Anambra East,0.65902133,0.643591483
60,Anambra West,0.719216869,0.675375884
61,Anaocha,0.731896698,0.681489685
62,Dunukofia,0.643150131,0.634446063
63,Ekwusigo,0.636150336,0.630311487
64,Idemili North,0.666806783,0.647960952
65,Idemili South,0.687149391,0.659014627
66,Ihiala,0.548692497,0.573608228
67,Njikoka,0.693312868,0.662260069
68,Nnewi North,0.681588098,0.656044939
69,Nnewi South,0.732361108,0.68170982
70,Ogbaru,0.517149509,0.551025965
71,Onitsha North,0.69391802,0.662576125
72,Onitsha South,0.715601623,0.673596019
73,Orumba North,0.716458678,0.674019444
74,Orumba South,0.735449433,0.683166942
75,Oyi,0.67143453,0.650521734
76,Alkaleri,0.733279911,0.682144558
77,Bauchi,0.786945614,0.705759121
78,Bogoro,0.77269469,0.699824014
79,Damban,0.853169907,0.730331337
80,Darazo,0.8461604,0.727955184
81,Dass,0.648230302,0.637408076
82,Gamawa,0.849288788,0.729021996
83,Jama'are,0.840747401,0.726085032
84,Ganjuwa,0.79352804,0.708420655
85,Giade,0.809072021,0.714508985
86,Itas/Gadau,0.825442948,0.720628487
87,Katagum,0.833545406,0.723548628
88,Kirfi,0.816421233,0.717292816
89,Misau,0.854425745,0.73075167
90,Ningi,0.757628049,0.693287731
91,Ukum,0.677976942,0.654095591
92,Shira,0.823151474,0.719789703
93,Tafawa-Balewa,0.730441018,0.680797947
94,Toro,0.726317522,0.67882421
95,Warji,0.770585038,0.698925089
96,Zaki,0.846886274,0.728203626
97,Kolokuma/Opokuma,0.213575954,0.308449229
98,Nembe,0.428393893,0.482697653
99,Ogbia,0.37451959,0.438902055
100,Sagbama,0.232222328,0.322984135
101,Yenegoa,0.255291855,0.34129114
102,Ado,0.678018599,0.654118172
103,Agatu,0.71427303,0.672937814
104,Apa,0.694686344,0.662976733
105,Buruku,0.697301489,0.664334689
106,Gboko,0.665887506,0.647449028
107,Guma,0.65706787,0.642483062
108,Gwer East,0.649747791,0.638286528
109,Gwer West,0.6828189,0.656705559
110,Katsina-Ala,0.663065692,0.645870924
111,Konshisha,0.68961417,0.660318257
112,Logo,0.696383714,0.663859104
113,Makurdi,0.666725451,0.647915703
114,Obi1,0.64045684,0.632862518
115,Ogbadibo,0.586032403,0.598931974
116,Ohimini,0.622038042,0.621788876
117,Oju,0.672763098,0.651251876
118,Okpokwu,0.580321299,0.595162952
119,Oturkpo,0.653986212,0.640724648
120,Tarka,0.679986445,0.655182389
121,Ushongo,0.693932723,0.662583798
122,Vandeikya,0.719278958,0.675406309
123,Askira/Uba,0.799002206,0.710596131
124,Enugu East,0.732094055,0.681583267
125,Bayo,0.755742594,0.692450606
126,Biu,0.819189986,0.718326049
127,Chibok,0.822727183,0.719633763
128,Damboa,0.847891567,0.728546793
129,Biase,0.72535173,0.678358876
130,Dikwa,0.839989862,0.72582084
131,Gubio,0.885328442,0.740593113
132,Jere,0.894751276,0.743407762
133,Guzamala,0.868687456,0.735412054
134,Hawul,0.800890653,0.711338678
135,Kwaya Kusar,0.752705925,0.691093319
136,Enugu North,0.745485806,0.687821218
137,Kaga,0.867595292,0.735062435
138,Mafa,0.869604699,0.735704756
139,Obudu,0.720163416,0.675839191
140,Konduga,0.881708836,0.73948925
141,Bomadi,0.20113515,0.298900238
142,Magumeri,0.900600028,0.745112539
143,Maiduguri,0.90508417,0.746397967
144,Shani,0.807562298,0.713929639
145,Abi,0.749286454,0.689551549
146,Marte,0.820706856,0.718888525
147,Nganzai,0.869473401,0.735662909
148,Bekwara,0.726888176,0.679098615
149,Calabar-Municipal,0.733458221,0.682228805
150,Ikom,0.741450504,0.685964742
151,Obubra,0.728725202,0.679979223
152,Enugu South,0.732389788,0.681723406
153,Odukpani,0.71795043,0.674754248
154,Ogoja,0.717936697,0.674747496
155,Yakurr,0.686085414,0.658449506
156,Ogbomosho North,0.440458321,0.492321872
157,Yala,0.72359461,0.677509292
158,Aniocha North,0.7113127,0.671463264
159,Aniocha South,0.696240169,0.663784624
160,Ibadan South West,0.425639942,0.480489238
161,Ethiope East,0.164572957,0.271621324
162,Ethiope West,0.349579617,0.418361212
163,Ika North East,0.72358348,0.677503899
164,Ika South,0.70920217,0.670405285
165,Isoko North,0.196837883,0.295631594
166,Ogbomosho South,0.403062277,0.462244074
167,Isoko South,0.186608201,0.287915127
168,Ndokwa East,0.437314029,0.489821773
169,Ndokwa West,0.381861731,0.444928757
170,Okpe,0.17907042,0.282289607
171,Oshimili North,0.703613714,0.667576819
172,Oshimili South,0.656166852,0.641970181
173,Patani,0.161588502,0.269450731
174,Sapele,0.296214669,0.374442026
175,Udu,0.163694717,0.270981655
176,Ughelli North,0.171828269,0.276934892
177,Ughelli South,0.178727224,0.282034731
178,Ukwuani,0.375085845,0.439367294
179,Uvwie,0.156926538,0.266078069
180,Warri South,0.167016668,0.273405242
181,Ohaozara,0.701442834,0.666467469
182,Abakaliki,0.664000154,0.646394643
183,Afikpo North,0.714333663,0.672967901
184,Afikpo South,0.695112871,0.663198804
185,Ebonyi,0.671909446,0.650782991
186,Ezza North,0.695735442,0.663522533
187,Ezza South,0.693307446,0.662257236
188,Ikwo,0.657635366,0.642805566
189,Ishielu,0.690251236,0.660653951
190,Ivo,0.721996879,0.676733438
191,Izzi,0.680877622,0.655662723
192,Ohaukwu,0.699327869,0.665380974
193,Onicha,0.702320996,0.666916938
194,Akoko-Edo,0.533449464,0.562824761
195,Egor,0.427639316,0.482092958
196,Esan North East,0.646994758,0.636690688
197,Esan Central,0.66839083,0.648840552
198,Esan South East,0.69995288,0.665702641
199,Esan West,0.663582231,0.646160555
200,Etsako Central,0.579178439,0.594404112
201,Etsako East,0.524852457,0.556635326
202,Etsako West,0.548221944,0.573279081
203,Igueben,0.706601003,0.669093656
204,Ikpoba-Okha,0.333249478,0.404889434
205,Aninri,0.673926504,0.651889409
206,Oredo,0.325448921,0.398458233
207,Orhionmwon,0.406758013,0.465246178
208,Ovia North East,0.491984378,0.532303663
209,Ovia South West,0.45119633,0.500813057
210,Owan East,0.548631834,0.573565809
211,Owan West,0.575049895,0.591650096
212,Uhunmwonde,0.652893739,0.640098387
213,Ado Ekiti,0.549041218,0.573851999
214,Efon-Alayee,0.533384286,0.562778123
215,Ekiti East,0.49511614,0.534665316
216,Ekiti South West,0.546150378,0.571827174
217,Awgu,0.698642801,0.665027832
218,Ekiti West,0.562659647,0.583266655
219,Emure,0.558786026,0.580609814
220,Gboyin,0.518246485,0.551828397
221,Idosi-Osi,0.566666639,0.585997098
222,Ijero,0.591837399,0.602723292
223,Ikere,0.602420414,0.609531052
224,Ikole,0.52927182,0.559826545
225,Ilemeji,0.553150058,0.576714208
226,Irepodun/Ifelodun,0.569981101,0.588241784
227,Ise/Orun,0.5625952,0.58322259
228,Moba,0.558810222,0.580626462
229,Oye,0.533361146,0.562761564
230,Ezeagu,0.707289061,0.669441434
231,Igbo-Etiti,0.71005599,0.670833967
232,Igbo-Eze North,0.601705062,0.609075158
233,Igbo-Eze South,0.623469591,0.622664742
234,Isi-Uzo,0.660205571,0.644261082
235,Nkanu East,0.691398683,0.661257287
236,Nkanu West,0.690454817,0.660761117
237,Nsukka,0.674576623,0.652244918
238,Oji-River,0.721299287,0.676393691
239,Udenu,0.594969736,0.604752315
240,Udi,0.695666543,0.66348673
241,Uzo-Uwani,0.68270673,0.656645433
242,Ahiazu-Mbaise,0.726339082,0.678834584
243,Abaji,0.586097277,0.598974566
244,Bwari,0.633975705,0.629014448
245,Gwagwalada,0.582431357,0.596559961
246,Kuje,0.585497542,0.598580631
247,Kwali,0.544731001,0.570829681
248,Bunkure,0.764204429,0.696174099
249,Abuja Municipal,0.607140775,0.612523708
250,Akko,0.708246615,0.669924439
251,Balanga,0.77202796,0.699540489
252,Billiri,0.576665258,0.592730021
253,Dukku,0.806641347,0.713574972
254,Funakaye,0.772965858,0.699939177
255,Gombe,0.745665948,0.68790363
256,Kaltungo,0.753449087,0.691426519
257,Kwami,0.747784527,0.688869867
258,Dala,0.767276689,0.697504755
259,Nafada,0.832554663,0.723195366
260,Shomgom,0.662635818,0.645629629
261,Yamaltu/Deba,0.746138325,0.688119545
262,Aboh-Mbaise,0.701556049,0.66652547
263,Fagge,0.772190332,0.699609586
