"","X.1","X","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","mortality","llins_plan","kill_rate","block_initial","simday"
"11153",1115,1115,"Ede South","Akinyele",2029,"Ede South",0.8,0.8,0.8,0.8,4,"may",0.412666127,"PBO(2021)",0.741327563,0.65,3416
"871",871,871,"Edu","Oke-Ero",2020,"Edu",0.8,0.8,0.8,0.8,1,"july",0.339359862,"NewGen(2021)",0.9,0.61,186
"8711",871,871,"Edu","Oke-Ero",2023,"Edu",0.8,0.8,0.8,0.8,2,"july",0.339359862,"NewGen(2021)",0.9,0.61,1281
"8712",871,871,"Edu","Oke-Ero",2026,"Edu",0.8,0.8,0.8,0.8,3,"july",0.339359862,"NewGen(2021)",0.9,0.61,2376
"8713",871,871,"Edu","Oke-Ero",2029,"Edu",0.8,0.8,0.8,0.8,4,"july",0.339359862,"NewGen(2021)",0.9,0.61,3471
"429",429,429,"Efon-Alayee","Oke-Ero",2020,"Efon-Alayee",0.8,0.8,0.8,0.8,1,"july",0.32342441,"PBO(2021)",0.729504192,0.65,186
"4291",429,429,"Efon-Alayee","Oke-Ero",2023,"Efon-Alayee",0.8,0.8,0.8,0.8,2,"july",0.32342441,"PBO(2021)",0.729504192,0.65,1281
"4292",429,429,"Efon-Alayee","Oke-Ero",2026,"Efon-Alayee",0.8,0.8,0.8,0.8,3,"july",0.32342441,"PBO(2021)",0.729504192,0.65,2376
"4293",429,429,"Efon-Alayee","Oke-Ero",2029,"Efon-Alayee",0.8,0.8,0.8,0.8,4,"july",0.32342441,"PBO(2021)",0.729504192,0.65,3471
"1433",1433,1433,"Egbado North","Owan East",2021,"Egbado North",0.8,0.8,0.8,0.8,1,"march",0.310892073,"PBO(2021)",0.726829353,0.65,435
"14331",1433,1433,"Egbado North","Owan East",2024,"Egbado North",0.8,0.8,0.8,0.8,2,"march",0.310892073,"PBO(2021)",0.726829353,0.65,1530
"14332",1433,1433,"Egbado North","Owan East",2027,"Egbado North",0.8,0.8,0.8,0.8,3,"march",0.310892073,"PBO(2021)",0.726829353,0.65,2625
"14333",1433,1433,"Egbado North","Owan East",2030,"Egbado North",0.8,0.8,0.8,0.8,4,"march",0.310892073,"PBO(2021)",0.726829353,0.65,3720
"1037",1037,1037,"Egbado South","Uzo-Uwani",2021,"Egbado South",0.8,0.8,0.8,0.8,1,"june",0.38366582,"PBO(2021)",0.738522561,0.65,527
"10371",1037,1037,"Egbado South","Uzo-Uwani",2024,"Egbado South",0.8,0.8,0.8,0.8,2,"june",0.38366582,"PBO(2021)",0.738522561,0.65,1622
"10372",1037,1037,"Egbado South","Uzo-Uwani",2027,"Egbado South",0.8,0.8,0.8,0.8,3,"june",0.38366582,"PBO(2021)",0.738522561,0.65,2717
