LGA,Rep_DS,U5_coverage,adult_coverage,simday,duration,year,round,severe_cases
Aba North,Ngor-Okpala,0.336494604,0.336494604,71,365,2020,1,0.543121201
Aba North,Ngor-Okpala,0.389615805,0.389615805,436,295,2021,2,0.596242402
Aba South,Ngor-Okpala,0.336494604,0.336494604,71,365,2020,1,0.543121201
Aba South,Ngor-Okpala,0.389615805,0.389615805,436,295,2021,2,0.596242402
Abadam,Babura,0.414895497,0.414895497,71,365,2020,1,0.555618138
Abadam,Babura,0.480513634,0.480513634,436,295,2021,2,0.621236275
Abaji,Keana,0.269359573,0.269359573,71,365,2020,1,0.51322873
Abaji,Keana,0.292588303,0.292588303,436,295,2021,2,0.53645746
Abak,Nsit Ubium,0.343460837,0.343460837,71,365,2020,1,0.535733076
Abak,Nsit Ubium,0.389193913,0.389193913,436,295,2021,2,0.581466152
Abakaliki,Owan East,0.395171256,0.395171256,71,365,2020,1,0.532422378
Abakaliki,Owan East,0.437593634,0.437593634,436,295,2021,2,0.574844756
Abeokuta North,Owan East,0.558896163,0.558896163,71,365,2020,1,0.532422378
Abeokuta North,Owan East,0.601318541,0.601318541,436,295,2021,2,0.574844756
Abeokuta South,Uzo-Uwani,0.863659569,0.863659569,71,365,2020,1,0.560216965
Abeokuta South,Uzo-Uwani,0.933876535,0.933876535,436,295,2021,2,0.630433931
Abi,Obubra,0.205550492,0.205550492,71,365,2020,1,0.550389199
Abi,Obubra,0.265939692,0.265939692,436,295,2021,2,0.610778399
Aboh-Mbaise,Ngor-Okpala,0.428121201,0.428121201,71,365,2020,1,0.543121201
Aboh-Mbaise,Ngor-Okpala,0.481242402,0.481242402,436,295,2021,2,0.596242402
Abua-Odual,Ahoada West,0.123020003,0.123020003,71,365,2020,1,0.508514086
Abua-Odual,Ahoada West,0.141534089,0.141534089,436,295,2021,2,0.527028172
Abuja Municipal,Keana,0.071352486,0.071352486,71,365,2020,1,0.51322873
Abuja Municipal,Keana,0.094581216,0.094581216,436,295,2021,2,0.53645746
Adavi,Owan East,0.321365157,0.321365157,71,365,2020,1,0.532422378
Adavi,Owan East,0.363787535,0.363787535,436,295,2021,2,0.574844756
Ado,Akinyele,0.199270249,0.199270249,71,365,2020,1,0.517973938
Ado,Akinyele,0.227244186,0.227244186,436,295,2021,2,0.545947875
Ado Ekiti,Owan East,0.321365157,0.321365157,71,365,2020,1,0.532422378
Ado Ekiti,Owan East,0.363787535,0.363787535,436,295,2021,2,0.574844756
Ado-Odo-Ota,Uzo-Uwani,0.49040945,0.49040945,71,365,2020,1,0.560216965
Ado-Odo-Ota,Uzo-Uwani,0.560626416,0.560626416,436,295,2021,2,0.630433931
Afijio,Akinyele,0.182900173,0.182900173,71,365,2020,1,0.517973938
Afijio,Akinyele,0.21087411,0.21087411,436,295,2021,2,0.545947875
Afikpo North,Oru West,0.933625583,0.933625583,71,365,2020,1,0.559679998
Afikpo North,Oru West,1,1,436,295,2021,2,0.629359997
Afikpo South,Ngor-Okpala,0.524072997,0.524072997,71,365,2020,1,0.543121201
Afikpo South,Ngor-Okpala,0.577194198,0.577194198,436,295,2021,2,0.596242402
Agaie,Oke-Ero,0.277784177,0.277784177,71,365,2020,1,0.520944588
Agaie,Oke-Ero,0.308728765,0.308728765,436,295,2021,2,0.551889176
Agatu,Keana,0.200415943,0.200415943,71,365,2020,1,0.51322873
Agatu,Keana,0.223644673,0.223644673,436,295,2021,2,0.53645746
Agege,Uzo-Uwani,0.49040945,0.49040945,71,365,2020,1,0.560216965
Agege,Uzo-Uwani,0.560626416,0.560626416,436,295,2021,2,0.630433931
Aguata,Oru West,0.504787984,0.504787984,71,365,2020,1,0.559679998
Aguata,Oru West,0.574467983,0.574467983,436,295,2021,2,0.629359997
Agwara,Birnin Kebbi,0.485886492,0.485886492,71,365,2020,1,0.553630812
Agwara,Birnin Kebbi,0.549517304,0.549517304,436,295,2021,2,0.617261624
Ahiazu-Mbaise,Ngor-Okpala,0.336494604,0.336494604,71,365,2020,1,0.543121201
Ahiazu-Mbaise,Ngor-Okpala,0.389615805,0.389615805,436,295,2021,2,0.596242402
Ahoada East,Ahoada West,0.319177311,0.319177311,71,365,2020,1,0.508514086
Ahoada East,Ahoada West,0.337691397,0.337691397,436,295,2021,2,0.527028172
Ahoada West,Ahoada West,0.351847419,0.351847419,71,365,2020,1,0.508514086
Ahoada West,Ahoada West,0.370361505,0.370361505,436,295,2021,2,0.527028172
Aiyedade,Akinyele,0.182900173,0.182900173,71,365,2020,1,0.517973938
Aiyedade,Akinyele,0.21087411,0.21087411,436,295,2021,2,0.545947875
Aiyedire,Akinyele,0.182900173,0.182900173,71,365,2020,1,0.517973938
Aiyedire,Akinyele,0.21087411,0.21087411,436,295,2021,2,0.545947875
Ajaokuta,Owan East,0.321365157,0.321365157,71,365,2020,1,0.532422378
Ajaokuta,Owan East,0.363787535,0.363787535,436,295,2021,2,0.574844756
Ajeromi-Ifelodun,Uzo-Uwani,0.767669187,0.767669187,71,365,2020,1,0.560216965
Ajeromi-Ifelodun,Uzo-Uwani,0.837886153,0.837886153,436,295,2021,2,0.630433931
Ajingi,Taura,0.205373207,0.205373207,71,365,2020,1,0.520445166
Ajingi,Taura,0.235818373,0.235818373,436,295,2021,2,0.550890332
Akamkpa,Ngor-Okpala,0.244508799,0.244508799,71,365,2020,1,0.543121201
Akamkpa,Ngor-Okpala,0.29763,0.29763,436,295,2021,2,0.596242402
Akinyele,Akinyele,0.182900173,0.182900173,71,365,2020,1,0.517973938
Akinyele,Akinyele,0.21087411,0.21087411,436,295,2021,2,0.545947875
Akko,Alkaleri,0.185947164,0.185947164,71,365,2020,1,0.530042716
Akko,Alkaleri,0.22598988,0.22598988,436,295,2021,2,0.570085432
Akoko North East,Oke-Ero,0.327478559,0.327478559,71,365,2020,1,0.520944588
Akoko North East,Oke-Ero,0.358423147,0.358423147,436,295,2021,2,0.551889176
Akoko North West,Oke-Ero,0.547791906,0.547791906,71,365,2020,1,0.520944588
Akoko North West,Oke-Ero,0.578736494,0.578736494,436,295,2021,2,0.551889176
Akoko South East,Oke-Ero,0.277784177,0.277784177,71,365,2020,1,0.520944588
Akoko South East,Oke-Ero,0.308728765,0.308728765,436,295,2021,2,0.551889176
Akoko South West,Oke-Ero,0.364277921,0.364277921,71,365,2020,1,0.520944588
Akoko South West,Oke-Ero,0.395222509,0.395222509,436,295,2021,2,0.551889176
Akoko-Edo,Owan East,0.476190874,0.476190874,71,365,2020,1,0.532422378
Akoko-Edo,Owan East,0.518613252,0.518613252,436,295,2021,2,0.574844756
Akpabuyo,Nsit Ubium,0.343460837,0.343460837,71,365,2020,1,0.535733076
Akpabuyo,Nsit Ubium,0.389193913,0.389193913,436,295,2021,2,0.581466152
Akuku Toru,Ahoada West,0.418514086,0.418514086,71,365,2020,1,0.508514086
Akuku Toru,Ahoada West,0.437028172,0.437028172,436,295,2021,2,0.527028172
Akure North,Owan East,0.321365157,0.321365157,71,365,2020,1,0.532422378
Akure North,Owan East,0.363787535,0.363787535,436,295,2021,2,0.574844756
Akure South,Owan East,0.542422378,0.542422378,71,365,2020,1,0.532422378
Akure South,Owan East,0.584844756,0.584844756,436,295,2021,2,0.574844756
Akwanga,Oke-Ero,0.277784177,0.277784177,71,365,2020,1,0.520944588
Akwanga,Oke-Ero,0.308728765,0.308728765,436,295,2021,2,0.551889176
Albasu,Takali,0.704803193,0.704803193,71,365,2020,1,0.528136526
Albasu,Takali,0.742939719,0.742939719,436,295,2021,2,0.566273052
Aleiro,Birnin Kebbi,0.485886492,0.485886492,71,365,2020,1,0.553630812
Aleiro,Birnin Kebbi,0.549517304,0.549517304,436,295,2021,2,0.617261624
Alimosho,Uzo-Uwani,0.345166049,0.345166049,71,365,2020,1,0.560216965
Alimosho,Uzo-Uwani,0.415383015,0.415383015,436,295,2021,2,0.630433931
Alkaleri,Alkaleri,0.262160262,0.262160262,71,365,2020,1,0.530042716
Alkaleri,Alkaleri,0.302202978,0.302202978,436,295,2021,2,0.570085432
Amuwo-Odofin,Isoko South,0.128883072,0.128883072,71,365,2020,1,0.497286832
Amuwo-Odofin,Isoko South,0.136169905,0.136169905,436,295,2021,2,0.504573665
Anambra East,Uzo-Uwani,0.49040945,0.49040945,71,365,2020,1,0.560216965
Anambra East,Uzo-Uwani,0.560626416,0.560626416,436,295,2021,2,0.630433931
Anambra West,Uzo-Uwani,0.737187221,0.737187221,71,365,2020,1,0.560216965
Anambra West,Uzo-Uwani,0.807404187,0.807404187,436,295,2021,2,0.630433931
Anaocha,Oru West,0.620482166,0.620482166,71,365,2020,1,0.559679998
