X,LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,mortality,llins_plan,kill_rate,block_initial,simday
1039,Ewekoro,Uzo-Uwani,2027,Ewekoro,0.8,0.8,0.8,0.8,3,june,0.487001134,PBO(2021),0.745985924,0.65,2717
1039,Ewekoro,Uzo-Uwani,2030,Ewekoro,0.8,0.8,0.8,0.8,4,june,0.487001134,PBO(2021),0.745985924,0.65,3812
461,Ezeagu,Uzo-Uwani,2020,Ezeagu,0.8,0.8,0.8,0.8,1,june,0.415961311,PBO(2021),0.741602353,0.65,162
461,Ezeagu,Uzo-Uwani,2023,Ezeagu,0.8,0.8,0.8,0.8,2,june,0.415961311,PBO(2021),0.741602353,0.65,1257
461,Ezeagu,Uzo-Uwani,2026,Ezeagu,0.8,0.8,0.8,0.8,3,june,0.415961311,PBO(2021),0.741602353,0.65,2352
461,Ezeagu,Uzo-Uwani,2029,Ezeagu,0.8,0.8,0.8,0.8,4,june,0.415961311,PBO(2021),0.741602353,0.65,3447
531,Ezinihitte,Ngor-Okpala,2020,Ezinihitte,0.8,0.8,0.8,0.8,1,june,0.456817192,PBO(2021),0.744432235,0.65,162
531,Ezinihitte,Ngor-Okpala,2023,Ezinihitte,0.8,0.8,0.8,0.8,2,june,0.456817192,PBO(2021),0.744432235,0.65,1257
531,Ezinihitte,Ngor-Okpala,2026,Ezinihitte,0.8,0.8,0.8,0.8,3,june,0.456817192,PBO(2021),0.744432235,0.65,2352
531,Ezinihitte,Ngor-Okpala,2029,Ezinihitte,0.8,0.8,0.8,0.8,4,june,0.456817192,PBO(2021),0.744432235,0.65,3447
373,Ezza North,Owan East,2020,Ezza North,0.8,0.8,0.8,0.8,1,march,0.41226708,Standard 2020,0.469710667,0.53,70
373,Ezza North,Owan East,2023,Ezza North,0.8,0.8,0.8,0.8,2,march,0.41226708,Standard 2020,0.469710667,0.53,1165
373,Ezza North,Owan East,2026,Ezza North,0.8,0.8,0.8,0.8,3,march,0.41226708,Standard 2020,0.469710667,0.53,2260
373,Ezza North,Owan East,2029,Ezza North,0.8,0.8,0.8,0.8,4,march,0.41226708,Standard 2020,0.469710667,0.53,3355
375,Ezza South,Obubra,2020,Ezza South,0.8,0.8,0.8,0.8,1,june,0.389807073,Standard 2020,0.451434864,0.53,162
375,Ezza South,Obubra,2023,Ezza South,0.8,0.8,0.8,0.8,2,june,0.389807073,Standard 2020,0.451434864,0.53,1257
375,Ezza South,Obubra,2026,Ezza South,0.8,0.8,0.8,0.8,3,june,0.389807073,Standard 2020,0.451434864,0.53,2352
375,Ezza South,Obubra,2029,Ezza South,0.8,0.8,0.8,0.8,4,june,0.389807073,Standard 2020,0.451434864,0.53,3447
527,Fagge,Alkaleri,2022,Fagge,0.8,0.8,0.8,0.8,1,july,0.567041099,PBO(2021),0.748721751,0.749557661,916
527,Fagge,Alkaleri,2025,Fagge,0.8,0.8,0.8,0.8,2,july,0.567041099,PBO(2021),0.748721751,0.749557661,2011
527,Fagge,Alkaleri,2028,Fagge,0.8,0.8,0.8,0.8,3,july,0.567041099,PBO(2021),0.748721751,0.749557661,3106
835,Fakai,Birnin Kebbi,2021,Fakai,0.925,0.807692308,0.8,0.8,1,august,0.590008654,PBO(2021),0.749257634,0.777441649,588
835,Fakai,Birnin Kebbi,2024,Fakai,0.925,0.807692308,0.8,0.8,2,august,0.590008654,PBO(2021),0.749257634,0.777441649,1683
835,Fakai,Birnin Kebbi,2027,Fakai,0.925,0.807692308,0.8,0.8,3,august,0.590008654,PBO(2021),0.749257634,0.777441649,2778
835,Fakai,Birnin Kebbi,2030,Fakai,0.925,0.807692308,0.8,0.8,4,august,0.590008654,PBO(2021),0.749257634,0.777441649,3873
789,Faskari,Giwa,2021,Faskari,0.8,0.8,0.8,0.8,1,august,0.713932669,PBO(2021),0.751102753,0.881732715,588
789,Faskari,Giwa,2024,Faskari,0.8,0.8,0.8,0.8,2,august,0.713932669,PBO(2021),0.751102753,0.881732715,1683
789,Faskari,Giwa,2027,Faskari,0.8,0.8,0.8,0.8,3,august,0.713932669,PBO(2021),0.751102753,0.881732715,2778
789,Faskari,Giwa,2030,Faskari,0.8,0.8,0.8,0.8,4,august,0.713932669,PBO(2021),0.751102753,0.881732715,3873
1351,Fika,Darazo,2022,Fika,0.8,0.8,0.8,0.8,1,july,0.755004111,PBO(2021),0.751469287,0.903771642,916
1351,Fika,Darazo,2025,Fika,0.8,0.8,0.8,0.8,2,july,0.755004111,PBO(2021),0.751469287,0.903771642,2011
1351,Fika,Darazo,2028,Fika,0.8,0.8,0.8,0.8,3,july,0.755004111,PBO(2021),0.751469287,0.903771642,3106
1509,Fufore,Alkaleri,2020,Fufore,0.8,0.8,0.8,0.8,1,july,0.635571581,PBO(2021),0.75010602,0.823835646,186
1509,Fufore,Alkaleri,2023,Fufore,0.8,0.8,0.8,0.8,2,july,0.635571581,PBO(2021),0.75010602,0.823835646,1281
1509,Fufore,Alkaleri,2026,Fufore,0.8,0.8,0.8,0.8,3,july,0.635571581,PBO(2021),0.75010602,0.823835646,2376
1509,Fufore,Alkaleri,2029,Fufore,0.8,0.8,0.8,0.8,4,july,0.635571581,PBO(2021),0.75010602,0.823835646,3471
509,Funakaye,Alkaleri,2021,Funakaye,0.8,0.8,0.8,0.8,1,july,0.631961788,PBO(2021),0.750047545,0.820549364,551
509,Funakaye,Alkaleri,2024,Funakaye,0.8,0.8,0.8,0.8,2,july,0.631961788,PBO(2021),0.750047545,0.820549364,1646
509,Funakaye,Alkaleri,2027,Funakaye,0.8,0.8,0.8,0.8,3,july,0.631961788,PBO(2021),0.750047545,0.820549364,2741
509,Funakaye,Alkaleri,2030,Funakaye,0.8,0.8,0.8,0.8,4,july,0.631961788,PBO(2021),0.750047545,0.820549364,3836
1355,Fune,Darazo,2022,Fune,0.8,0.8,0.8,0.8,1,july,0.756549801,PBO(2021),0.75148152,0.904511849,916
1355,Fune,Darazo,2025,Fune,0.8,0.8,0.8,0.8,2,july,0.756549801,PBO(2021),0.75148152,0.904511849,2011
1355,Fune,Darazo,2028,Fune,0.8,0.8,0.8,0.8,3,july,0.756549801,PBO(2021),0.75148152,0.904511849,3106
791,Funtua,Gwarzo,2021,Funtua,0.8,0.8,0.8,0.8,1,august,0.500280747,PBO(2021),0.746560342,0.647463373,588
791,Funtua,Gwarzo,2024,Funtua,0.8,0.8,0.8,0.8,2,august,0.500280747,PBO(2021),0.746560342,0.647463373,1683
791,Funtua,Gwarzo,2027,Funtua,0.8,0.8,0.8,0.8,3,august,0.500280747,PBO(2021),0.746560342,0.647463373,2778
791,Funtua,Gwarzo,2030,Funtua,0.8,0.8,0.8,0.8,4,august,0.500280747,PBO(2021),0.746560342,0.647463373,3873
705,Gabasawa,Taura,2022,Gabasawa,0.8,0.8,0.8,0.8,1,july,0.749885825,PBO(2021),0.751428034,0.901277355,916
705,Gabasawa,Taura,2025,Gabasawa,0.8,0.8,0.8,0.8,2,july,0.749885825,PBO(2021),0.751428034,0.901277355,2011
705,Gabasawa,Taura,2028,Gabasawa,0.8,0.8,0.8,0.8,3,july,0.749885825,PBO(2021),0.751428034,0.901277355,3106
1455,Gada,Gawabawa,2020,Gada,0.8,0.8,0.8,0.8,1,august,0.721220117,PBO(2021),0.751174104,0.885998444,223
1455,Gada,Gawabawa,2023,Gada,0.8,0.8,0.8,0.8,2,august,0.721220117,PBO(2021),0.751174104,0.885998444,1318
1455,Gada,Gawabawa,2026,Gada,0.8,0.8,0.8,0.8,3,august,0.721220117,PBO(2021),0.751174104,0.885998444,2413
1455,Gada,Gawabawa,2029,Gada,0.8,0.8,0.8,0.8,4,august,0.721220117,PBO(2021),0.751174104,0.885998444,3508
599,Gagarawa,Taura,2021,Gagarawa,0.923076923,0.972222222,0.871794872,0.942028986,1,july,0.716266925,PBO(2021),0.751125931,0.883116947,551
599,Gagarawa,Taura,2024,Gagarawa,0.923076923,0.972222222,0.871794872,0.942028986,2,july,0.716266925,PBO(2021),0.751125931,0.883116947,1646
599,Gagarawa,Taura,2027,Gagarawa,0.923076923,0.972222222,0.871794872,0.942028986,3,july,0.716266925,PBO(2021),0.751125931,0.883116947,2741
599,Gagarawa,Taura,2030,Gagarawa,0.923076923,0.972222222,0.871794872,0.942028986,4,july,0.716266925,PBO(2021),0.751125931,0.883116947,3836
165,Gamawa,Gwarzo,2021,Gamawa,0.8,0.8,0.8,0.8,1,august,0.770682387,Standard 2020,0.698966685,0.877968696,588
165,Gamawa,Gwarzo,2024,Gamawa,0.8,0.8,0.8,0.8,2,august,0.770682387,Standard 2020,0.698966685,0.877968696,1683
165,Gamawa,Gwarzo,2027,Gamawa,0.8,0.8,0.8,0.8,3,august,0.770682387,Standard 2020,0.698966685,0.877968696,2778
165,Gamawa,Gwarzo,2030,Gamawa,0.8,0.8,0.8,0.8,4,august,0.770682387,Standard 2020,0.698966685,0.877968696,3873
1513,Ganaye,Alkaleri,2020,Ganaye,0.8,0.8,0.8,0.8,1,july,0.427407559,PBO(2021),0.7424974,0.65,186
1513,Ganaye,Alkaleri,2023,Ganaye,0.8,0.8,0.8,0.8,2,july,0.427407559,PBO(2021),0.7424974,0.65,1281
1513,Ganaye,Alkaleri,2026,Ganaye,0.8,0.8,0.8,0.8,3,july,0.427407559,PBO(2021),0.7424974,0.65,2376
1513,Ganaye,Alkaleri,2029,Ganaye,0.8,0.8,0.8,0.8,4,july,0.427407559,PBO(2021),0.7424974,0.65,3471
169,Ganjuwa,Darazo,2021,Ganjuwa,0.8,0.8,0.8,0.8,1,july,0.647484501,Standard 2020,0.636975276,0.777846808,551
169,Ganjuwa,Darazo,2024,Ganjuwa,0.8,0.8,0.8,0.8,2,july,0.647484501,Standard 2020,0.636975276,0.777846808,1646
169,Ganjuwa,Darazo,2027,Ganjuwa,0.8,0.8,0.8,0.8,3,july,0.647484501,Standard 2020,0.636975276,0.777846808,2741
169,Ganjuwa,Darazo,2030,Ganjuwa,0.8,0.8,0.8,0.8,4,july,0.647484501,Standard 2020,0.636975276,0.777846808,3836
603,Garki,Babura,2021,Garki,0.944444444,0.878787879,0.952380952,0.932432432,1,may,0.74078424,PBO(2021),0.751351753,0.896673119,496
603,Garki,Babura,2024,Garki,0.944444444,0.878787879,0.952380952,0.932432432,2,may,0.74078424,PBO(2021),0.751351753,0.896673119,1591
603,Garki,Babura,2027,Garki,0.944444444,0.878787879,0.952380952,0.932432432,3,may,0.74078424,PBO(2021),0.751351753,0.896673119,2686
603,Garki,Babura,2030,Garki,0.944444444,0.878787879,0.952380952,0.932432432,4,may,0.74078424,PBO(2021),0.751351753,0.896673119,3781
707,Garko,Gwarzo,2022,Garko,0.8,0.8,0.8,0.8,1,august,0.768838005,PBO(2021),0.751575217,0.910188344,953
707,Garko,Gwarzo,2025,Garko,0.8,0.8,0.8,0.8,2,august,0.768838005,PBO(2021),0.751575217,0.910188344,2048
707,Garko,Gwarzo,2028,Garko,0.8,0.8,0.8,0.8,3,august,0.768838005,PBO(2021),0.751575217,0.910188344,3143
709,Garum Mallam,Gwarzo,2022,Garum Mallam,0.818181818,0.8,0.8,0.8,1,august,0.862288859,PBO(2021),0.75212162,0.943329856,953
709,Garum Mallam,Gwarzo,2025,Garum Mallam,0.818181818,0.8,0.8,0.8,2,august,0.862288859,PBO(2021),0.75212162,0.943329856,2048
709,Garum Mallam,Gwarzo,2028,Garum Mallam,0.818181818,0.8,0.8,0.8,3,august,0.862288859,PBO(2021),0.75212162,0.943329856,3143
1519,Gashaka,Oru West,2022,Gashaka,0.8,0.8,0.8,0.8,1,june,0.402171636,PBO(2021),0.740396661,0.65,892
1519,Gashaka,Oru West,2025,Gashaka,0.8,0.8,0.8,0.8,2,june,0.402171636,PBO(2021),0.740396661,0.65,1987
1519,Gashaka,Oru West,2028,Gashaka,0.8,0.8,0.8,0.8,3,june,0.402171636,PBO(2021),0.740396661,0.65,3082
1321,Gassol,Keana,2022,Gassol,0.8,0.8,0.8,0.8,1,august,0.374978294,PBO(2021),0.737525302,0.65,953
1321,Gassol,Keana,2025,Gassol,0.8,0.8,0.8,0.8,2,august,0.374978294,PBO(2021),0.737525302,0.65,2048
1321,Gassol,Keana,2028,Gassol,0.8,0.8,0.8,0.8,3,august,0.374978294,PBO(2021),0.737525302,0.65,3143
1287,Gawabawa,Gawabawa,2020,Gawabawa,0.8,0.8,0.8,0.8,1,august,0.808406515,PBO(2021),0.751838594,0.926183778,223
1287,Gawabawa,Gawabawa,2023,Gawabawa,0.8,0.8,0.8,0.8,2,august,0.808406515,PBO(2021),0.751838594,0.926183778,1318
1287,Gawabawa,Gawabawa,2026,Gawabawa,0.8,0.8,0.8,0.8,3,august,0.808406515,PBO(2021),0.751838594,0.926183778,2413
1287,Gawabawa,Gawabawa,2029,Gawabawa,0.8,0.8,0.8,0.8,4,august,0.808406515,PBO(2021),0.751838594,0.926183778,3508
711,Gaya,Gwarzo,2022,Gaya,0.878787879,0.8,0.806451613,0.941176471,1,august,0.763092032,PBO(2021),0.751532177,0.907579363,953
711,Gaya,Gwarzo,2025,Gaya,0.878787879,0.8,0.806451613,0.941176471,2,august,0.763092032,PBO(2021),0.751532177,0.907579363,2048
711,Gaya,Gwarzo,2028,Gaya,0.878787879,0.8,0.806451613,0.941176471,3,august,0.763092032,PBO(2021),0.751532177,0.907579363,3143
989,Gbako,Oke-Ero,2022,Gbako,0.8,0.8,0.8,0.8,1,july,0.413494411,PBO(2021),0.74139739,0.65,916
989,Gbako,Oke-Ero,2025,Gbako,0.8,0.8,0.8,0.8,2,july,0.413494411,PBO(2021),0.74139739,0.65,2011
989,Gbako,Oke-Ero,2028,Gbako,0.8,0.8,0.8,0.8,3,july,0.413494411,PBO(2021),0.74139739,0.65,3106
213,Gboko,Keana,2020,Gboko,0.8,0.8,0.8,0.8,1,august,0.325574075,Standard 2020,0.398561371,0.53,223
213,Gboko,Keana,2023,Gboko,0.8,0.8,0.8,0.8,2,august,0.325574075,Standard 2020,0.398561371,0.53,1318
213,Gboko,Keana,2026,Gboko,0.8,0.8,0.8,0.8,3,august,0.325574075,Standard 2020,0.398561371,0.53,2413
213,Gboko,Keana,2029,Gboko,0.8,0.8,0.8,0.8,4,august,0.325574075,Standard 2020,0.398561371,0.53,3508
441,Gboyin,Obubra,2020,Gboyin,0.8,0.8,0.8,0.8,1,june,0.286540024,PBO(2021),0.7204787,0.65,162
441,Gboyin,Obubra,2023,Gboyin,0.8,0.8,0.8,0.8,2,june,0.286540024,PBO(2021),0.7204787,0.65,1257
441,Gboyin,Obubra,2026,Gboyin,0.8,0.8,0.8,0.8,3,june,0.286540024,PBO(2021),0.7204787,0.65,2352
441,Gboyin,Obubra,2029,Gboyin,0.8,0.8,0.8,0.8,4,june,0.286540024,PBO(2021),0.7204787,0.65,3447
1359,Geidam,Babura,2022,Geidam,0.8,0.8,0.8,0.8,1,may,0.758492868,PBO(2021),0.751496753,0.905433898,861
1359,Geidam,Babura,2025,Geidam,0.8,0.8,0.8,0.8,2,may,0.758492868,PBO(2021),0.751496753,0.905433898,1956
1359,Geidam,Babura,2028,Geidam,0.8,0.8,0.8,0.8,3,may,0.758492868,PBO(2021),0.751496753,0.905433898,3051
713,Gezawa,Gwarzo,2022,Gezawa,0.8,0.8,0.8,0.8,1,august,0.80805322,PBO(2021),0.751836474,0.926054985,953
713,Gezawa,Gwarzo,2025,Gezawa,0.8,0.8,0.8,0.8,2,august,0.80805322,PBO(2021),0.751836474,0.926054985,2048
713,Gezawa,Gwarzo,2028,Gezawa,0.8,0.8,0.8,0.8,3,august,0.80805322,PBO(2021),0.751836474,0.926054985,3143
171,Giade,Darazo,2021,Giade,0.8,0.8,0.8,0.8,1,july,0.730326034,Standard 2020,0.680743195,0.852004738,551
171,Giade,Darazo,2024,Giade,0.8,0.8,0.8,0.8,2,july,0.730326034,Standard 2020,0.680743195,0.852004738,1646
171,Giade,Darazo,2027,Giade,0.8,0.8,0.8,0.8,3,july,0.730326034,Standard 2020,0.680743195,0.852004738,2741
171,Giade,Darazo,2030,Giade,0.8,0.8,0.8,0.8,4,july,0.730326034,Standard 2020,0.680743195,0.852004738,3836
37,Gireri,Darazo,2020,Gireri,0.8,0.8,0.8,0.8,1,july,0.658506137,PBO(2021),0.75044815,0.843319415,186
37,Gireri,Darazo,2023,Gireri,0.8,0.8,0.8,0.8,2,july,0.658506137,PBO(2021),0.75044815,0.843319415,1281
37,Gireri,Darazo,2026,Gireri,0.8,0.8,0.8,0.8,3,july,0.658506137,PBO(2021),0.75044815,0.843319415,2376
37,Gireri,Darazo,2029,Gireri,0.8,0.8,0.8,0.8,4,july,0.658506137,PBO(2021),0.75044815,0.843319415,3471
643,Giwa,Giwa,2022,Giwa,0.8,0.8,0.8,0.8,1,august,0.58231661,PBO(2021),0.749087435,0.768467517,953
643,Giwa,Giwa,2025,Giwa,0.8,0.8,0.8,0.8,2,august,0.58231661,PBO(2021),0.749087435,0.768467517,2048
643,Giwa,Giwa,2028,Giwa,0.8,0.8,0.8,0.8,3,august,0.58231661,PBO(2021),0.749087435,0.768467517,3143
1253,Gokana,Nsit Ubium,2020,Gokana,0.8,0.8,0.8,0.8,1,june,0.297628692,PBO(2021),0.72358026,0.65,162
1253,Gokana,Nsit Ubium,2023,Gokana,0.8,0.8,0.8,0.8,2,june,0.297628692,PBO(2021),0.72358026,0.65,1257
1253,Gokana,Nsit Ubium,2026,Gokana,0.8,0.8,0.8,0.8,3,june,0.297628692,PBO(2021),0.72358026,0.65,2352
1253,Gokana,Nsit Ubium,2029,Gokana,0.8,0.8,0.8,0.8,4,june,0.297628692,PBO(2021),0.72358026,0.65,3447
511,Gombe,Alkaleri,2021,Gombe,0.8,0.8,0.8,0.8,1,july,0.497689178,PBO(2021),0.746452831,0.65,551
511,Gombe,Alkaleri,2024,Gombe,0.8,0.8,0.8,0.8,2,july,0.497689178,PBO(2021),0.746452831,0.65,1646
511,Gombe,Alkaleri,2027,Gombe,0.8,0.8,0.8,0.8,3,july,0.497689178,PBO(2021),0.746452831,0.65,2741
511,Gombe,Alkaleri,2030,Gombe,0.8,0.8,0.8,0.8,4,july,0.497689178,PBO(2021),0.746452831,0.65,3836
39,Gombi,Alkaleri,2020,Gombi,0.8,0.8,0.8,0.8,1,july,0.515567645,PBO(2021),0.747153033,0.673908406,186
39,Gombi,Alkaleri,2023,Gombi,0.8,0.8,0.8,0.8,2,july,0.515567645,PBO(2021),0.747153033,0.673908406,1281
39,Gombi,Alkaleri,2026,Gombi,0.8,0.8,0.8,0.8,3,july,0.515567645,PBO(2021),0.747153033,0.673908406,2376
39,Gombi,Alkaleri,2029,Gombi,0.8,0.8,0.8,0.8,4,july,0.515567645,PBO(2021),0.747153033,0.673908406,3471
1285,Goronyo,Gawabawa,2020,Goronyo,0.8,0.8,0.8,0.8,1,august,0.728302887,PBO(2021),0.751240681,0.889990409,223
1285,Goronyo,Gawabawa,2023,Goronyo,0.8,0.8,0.8,0.8,2,august,0.728302887,PBO(2021),0.751240681,0.889990409,1318
1285,Goronyo,Gawabawa,2026,Goronyo,0.8,0.8,0.8,0.8,3,august,0.728302887,PBO(2021),0.751240681,0.889990409,2413
1285,Goronyo,Gawabawa,2029,Goronyo,0.8,0.8,0.8,0.8,4,august,0.728302887,PBO(2021),0.751240681,0.889990409,3508
263,Gubio,Gawabawa,2020,Gubio,0.8,0.8,0.8,0.8,1,august,0.814426994,PBO(2021),0.751874138,0.92834284,223
263,Gubio,Gawabawa,2023,Gubio,0.8,0.8,0.8,0.8,2,august,0.814426994,PBO(2021),0.751874138,0.92834284,1318
263,Gubio,Gawabawa,2026,Gubio,0.8,0.8,0.8,0.8,3,august,0.814426994,PBO(2021),0.751874138,0.92834284,2413
263,Gubio,Gawabawa,2029,Gubio,0.8,0.8,0.8,0.8,4,august,0.814426994,PBO(2021),0.751874138,0.92834284,3508
1451,Gudu,Gawabawa,2020,Gudu,0.8,0.8,0.8,0.8,1,august,0.818072663,PBO(2021),0.751895138,0.929618063,223
1451,Gudu,Gawabawa,2023,Gudu,0.8,0.8,0.8,0.8,2,august,0.818072663,PBO(2021),0.751895138,0.929618063,1318
1451,Gudu,Gawabawa,2026,Gudu,0.8,0.8,0.8,0.8,3,august,0.818072663,PBO(2021),0.751895138,0.929618063,2413
1451,Gudu,Gawabawa,2029,Gudu,0.8,0.8,0.8,0.8,4,august,0.818072663,PBO(2021),0.751895138,0.929618063,3508
1353,Gujba,Darazo,2022,Gujba,0.8,0.8,0.8,0.8,1,july,0.684790286,PBO(2021),0.750785416,0.862937108,916
1353,Gujba,Darazo,2025,Gujba,0.8,0.8,0.8,0.8,2,july,0.684790286,PBO(2021),0.750785416,0.862937108,2011
1353,Gujba,Darazo,2028,Gujba,0.8,0.8,0.8,0.8,3,july,0.684790286,PBO(2021),0.750785416,0.862937108,3106
1357,Gulani,Alkaleri,2022,Gulani,0.8,0.8,0.8,0.8,1,july,0.657079381,PBO(2021),0.750428256,0.842174727,916
1357,Gulani,Alkaleri,2025,Gulani,0.8,0.8,0.8,0.8,2,july,0.657079381,PBO(2021),0.750428256,0.842174727,2011
1357,Gulani,Alkaleri,2028,Gulani,0.8,0.8,0.8,0.8,3,july,0.657079381,PBO(2021),0.750428256,0.842174727,3106
215,Guma,Keana,2020,Guma,0.8,0.8,0.8,0.8,1,august,0.365014826,Standard 2020,0.431083741,0.53,223
