,seasonality,month,cases,population,incidence
1,Alkaleri,1,322389,11325942,28.46465221
2,Alkaleri,2,296213,11325942,26.15349787
3,Alkaleri,3,283530,11325942,25.03367932
4,Alkaleri,4,260829,11325942,23.02934272
5,Alkaleri,5,251927,11325942,22.24335954
6,Alkaleri,6,336247,11325942,29.6882149
7,Alkaleri,7,398883,11325942,35.21852752
8,Alkaleri,8,348340,11325942,30.75594065
9,Alkaleri,9,341829,11325942,30.18106573
10,Alkaleri,10,388662,11325942,34.31608603
11,Alkaleri,11,308687,11325942,27.25486322
12,Alkaleri,12,246224,11325942,21.73982526
13,Aniocha South,1,420815,25444981,16.53823204
14,Aniocha South,2,445255,25444981,17.4987358
15,Aniocha South,3,489522,25444981,19.23845021
16,Aniocha South,4,468826,25444981,18.42508745
17,Aniocha South,5,538971,25444981,21.18181971
18,Aniocha South,6,520849,25444981,20.46961639
19,Aniocha South,7,457433,25444981,17.97733706
20,Aniocha South,8,356046,25444981,13.99277917
21,Aniocha South,9,348034,25444981,13.67790371
22,Aniocha South,10,366864,25444981,14.41793177
23,Aniocha South,11,347923,25444981,13.67354136
24,Aniocha South,12,314072,25444981,12.34318076
25,Bakura,1,205938,6377684,32.29040511
26,Bakura,2,221329,6377684,34.70366359
27,Bakura,3,226937,6377684,35.58297965
28,Bakura,4,230757,6377684,36.18194316
29,Bakura,5,199984,6377684,31.35683737
30,Bakura,6,239187,6377684,37.5037396
31,Bakura,7,244865,6377684,38.39403144
32,Bakura,8,241688,6377684,37.89588823
33,Bakura,9,241369,6377684,37.84587007
34,Bakura,10,249493,6377684,39.11968671
35,Bakura,11,185291,6377684,29.05302301
36,Bakura,12,151596,6377684,23.76975717
37,Dandume,1,155857,5851221,26.63666267
38,Dandume,2,157084,5851221,26.84636249
39,Dandume,3,176022,5851221,30.08295192
40,Dandume,4,178402,5851221,30.48970463
41,Dandume,5,165267,5851221,28.24487402
42,Dandume,6,262221,5851221,44.81474892
43,Dandume,7,211144,5851221,36.08545977
44,Dandume,8,164749,5851221,28.15634549
45,Dandume,9,175911,5851221,30.06398152
46,Dandume,10,221982,5851221,37.93772274
47,Dandume,11,164263,5851221,28.0732859
48,Dandume,12,125511,5851221,21.45039471
49,Degema,1,20714,2116843,9.785326545
50,Degema,2,25078,2116843,11.84688709
51,Degema,3,19103,2116843,9.024287583
52,Degema,4,19167,2116843,9.054521285
53,Degema,5,25368,2116843,11.98388355
54,Degema,6,23965,2116843,11.32110412
55,Degema,7,17517,2116843,8.27505866
